name,gw_frac,n_postcodes
M11,0.0,738
M12,0.0,479
M13,0.0,475
M14,0.0,1039
M15,0.0,582
M16,0.0,862
M17,0.0,155
M18,0.0,572
M19,0.0,801
M2,0.0,201
M20,0.0,1133
M21,0.0,716
M22,0.0,1208
M23,0.0,809
M24,0.0,1238
M25,0.0,782
M26,0.0,845
M27,0.0,1093
M28,0.0,1091
M29,0.0,567
M3,0.0,555
M30,0.0,928
M31,0.0,250
M32,0.0,682
M33,0.0,1561
M34,0.0,1272
M35,0.0,518
M38,0.0,309
M4,0.0,469
M40,0.0,1370
M41,0.0,1022
M43,0.0,598
M44,0.0,478
M45,0.0,651
M46,0.0,567
M5,0.0,605
M50,0.0,186
M6,0.0,803
M60,0.0,101
M61,0.0,96
M7,0.0,778
M8,0.0,795
M9,0.0,1077
M90,0.0,49
M99,0.0,6
ME1,0.0,849
ME10,0.0,1121
ME11,0.0,105
ME12,0.0,923
ME13,0.0,1055
ME14,0.0,1058
ME15,0.0,1355
ME16,0.0,765
ME17,0.0,1056
ME18,0.0,313
ME19,0.0,730
ME2,0.0,941
ME20,0.0,533
ME3,0.0,837
ME4,0.0,788
ME5,0.0,991
ME6,0.0,309
ME7,0.0,1019
ME8,0.0,1128
ME9,0.0,858
MK1,0.0,113
MK10,0.0,621
MK11,0.0,286
MK12,0.0,293
MK13,0.0,500
MK14,0.0,471
MK15,0.0,220
MK16,0.0,576
MK17,0.0,845
MK18,0.0,1242
MK19,0.0,349
MK2,0.0,364
MK3,0.0,647
MK4,0.0,580
MK40,0.0,888
MK41,0.0,1056
MK42,0.0,1241
MK43,0.0,1111
MK44,0.0,657
MK45,0.0,1264
MK46,0.0,301
MK5,0.0,407
MK6,0.0,609
MK7,0.0,376
MK77,0.0,1
MK8,0.0,415
MK9,0.0,248
N1,0.0,2132
N10,0.0,504
N11,0.0,608
N12,0.0,701
N13,0.0,528
N14,0.0,679
N15,0.0,702
N16,0.0,1129
N17,0.0,1065
N18,0.0,527
N19,0.0,633
N1C,0.0,71
N2,0.0,542
N20,0.0,511
N21,0.0,567
N22,0.0,681
N3,0.0,640
N4,0.0,852
N5,0.0,412
N6,0.0,491
N7,0.0,882
N8,0.0,684
N9,0.0,872
NE1,0.0,532
NE10,0.0,739
NE11,0.0,466
NE12,0.0,849
NE13,0.0,464
NE15,0.0,883
NE16,0.0,748
NE17,0.0,166
NE18,0.0,70
NE19,0.0,215
NE2,0.0,504
NE20,0.0,439
NE21,0.0,534
NE22,0.0,517
NE23,0.0,1029
NE24,0.0,1110
NE25,0.0,679
NE26,0.0,538
NE27,0.0,336
NE28,0.0,1028
NE29,0.0,945
NE3,0.0,1179
NE30,0.0,629
NE31,0.0,497
NE32,0.0,678
NE33,0.0,746
NE34,0.0,1054
NE35,0.0,131
NE36,0.0,210
NE37,0.0,534
NE38,0.0,651
NE39,0.0,310
NE4,0.0,790
NE40,0.0,503
NE41,0.0,96
NE42,0.0,358
NE43,0.0,221
NE44,0.0,87
NE45,0.0,196
NE46,0.0,844
NE47,0.0,592
NE48,0.0,425
NE49,0.0,285
NE5,0.0,1132
NE6,0.0,1046
NE61,0.0,1501
NE62,0.0,274
NE63,0.0,764
NE64,0.0,181
