name,f_high,f_low
EC4R 1,0.023294,0.023294
EC4R 2,0.024157,0.024157
EC4R 3,0.094723,0.094723
EC4R 9,0.024157,0.024157
EC4V 2,0.000134,0.000134
EC4V 3,0.000096,0.000096
EC4V 4,0.000107,0.000107
EC4V 5,0.000071,0.000071
EC4V 6,0.000089,0.000089
EC4Y 0,0.000083,0.000083
EC4Y 1,0.000100,0.000100
EC4Y 7,0.000052,0.000052
EC4Y 8,0.000089,0.000089
EC4Y 9,0.000083,0.000083
EH1 1,0.000250,0.000430
EH1 2,0.000293,0.000504
EH1 3,0.000332,0.000572
EH10 4,0.000047,0.000280
EH10 5,0.000041,0.003917
EH10 6,0.000038,0.003662
EH10 7,0.000089,0.000528
EH10 9,0.000553,0.003276
EH11 1,0.001324,0.005897
EH11 2,0.023568,0.099398
EH11 3,0.015133,0.154543
EH11 4,0.042505,0.074431
EH12 0,0.016965,0.018239
EH12 1,0.072950,0.078429
EH12 5,0.143601,0.144071
EH12 6,0.018016,0.018586
EH12 7,0.119649,0.130446
EH12 8,0.007520,0.010913
EH12 9,0.132265,0.148247
EH13 0,0.020315,0.043918
EH13 9,0.011464,0.095343
EH14 1,0.027811,0.072926
EH14 2,0.049030,0.067433
EH14 3,0.005851,0.009261
EH14 4,0.016322,0.025834
EH14 5,0.017176,0.025954
EH14 6,0.100562,0.110603
EH14 7,0.037830,0.039895
EH14 9,0.031011,0.049085
EH15 1,0.035998,0.116153
EH15 2,0.016242,0.057727
EH15 3,0.015584,0.019351
EH15 9,0.022979,0.064795
EH16 4,0.027715,0.049269
EH16 5,0.011909,0.056998
EH16 6,0.003841,0.008154
EH16 9,0.014341,0.036576
EH17 7,0.013681,0.018358
EH17 8,0.010606,0.015877
EH18 1,0.000610,0.038171
EH19 2,0.000126,0.000217
EH19 3,0.000072,0.000123
EH2 1,0.001354,0.002333
EH2 2,0.001045,0.001801
EH2 3,0.001241,0.002138
EH2 4,0.000839,0.001446
EH20 9,0.000150,0.000259
EH21 6,0.119189,0.141674
EH21 7,0.281544,0.379010
EH21 8,0.008210,0.010682
EH22 1,0.016686,0.016783
EH22 2,0.004791,0.008921
EH22 3,0.025230,0.025376
EH22 4,0.004337,0.004425
EH22 5,0.000759,0.000857
EH22 9,0.007241,0.008170
EH23 4,0.003390,0.010054
EH24 9,0.000972,0.001675
EH25 9,0.014233,0.021430
EH26 0,0.004311,0.016068
EH26 6,0.007772,0.015314
EH26 8,0.015392,0.016128
EH26 9,0.001087,0.009135
EH27 8,0.052686,0.053465
EH28 8,0.007624,0.007907
EH29 9,0.054539,0.054858
EH3 5,0.039770,0.186068
EH3 6,0.012247,0.016400
EH3 7,0.003269,0.012358
EH3 8,0.002865,0.010830
EH3 9,0.001317,0.004979
EH30 9,0.006667,0.006733
EH31 2,0.000640,0.001103
EH32 0,0.014504,0.018098
EH32 9,0.021800,0.025505
EH33 1,0.002217,0.002298
EH33 2,0.040223,0.040293
EH34 5,0.022765,0.023356
EH35 5,0.001102,0.001899
EH36 5,0.009917,0.017087
EH37 5,0.021355,0.021885
EH38 5,0.009917,0.017087
EH39 4,0.000287,0.004733
EH39 5,0.005065,0.005361
EH39 9,0.003434,0.006561
EH4 1,0.110088,0.172618
EH4 2,0.016484,0.017198
EH4 3,0.046615,0.059596
EH4 4,0.001763,0.002493
EH4 5,0.002086,0.002949
EH4 6,0.011214,0.016639
EH4 7,0.001818,0.002570
EH4 8,0.009652,0.010925
EH4 9,0.023359,0.033030
EH40 3,0.015177,0.030013
EH41 3,0.030420,0.064535
EH41 4,0.148204,0.168789
EH41 9,0.043378,0.057667
EH42 1,0.025066,0.036225
EH43 6,0.216627,0.219747
EH44 6,0.334690,0.437211
EH45 8,0.076125,0.145317
EH45 9,0.091794,0.130057
EH46 7,0.054295,0.063663
EH47 0,0.042860,0.082322
EH47 7,0.001517,0.003869
EH47 8,0.011474,0.063249
EH47 9,0.002097,0.005348
EH48 1,0.000621,0.000846
EH48 2,0.003428,0.003578
EH48 3,0.004168,0.004351
EH48 4,0.024058,0.035976
EH48 9,0.006897,0.009394
EH49 6,0.010410,0.016551
EH49 7,0.023027,0.054845
EH49 9,0.017109,0.036204
EH5 1,0.012328,0.012370
EH5 2,0.000496,0.000545
EH5 3,0.000474,0.000521
EH51 0,0.013165,0.071287
EH51 1,0.028356,0.095048
EH51 9,0.039876,0.116607
EH52 1,0.060879,0.070787
EH52 5,0.051531,0.077241
EH52 6,0.006910,0.010328
EH53 0,0.003187,0.006350
EH54 0,0.000331,0.363039
EH54 5,0.000056,0.001389
EH54 6,0.000034,0.000845
EH54 7,0.000085,0.002118
EH54 8,0.000043,0.001064
EH54 9,0.000066,0.001630
EH55 8,0.014176,0.014252
EH6 4,0.001402,0.003324
EH6 5,0.039079,0.092808
EH6 6,0.040795,0.096883
EH6 7,0.011995,0.029751
EH6 8,0.001628,0.003861
EH7 4,0.019001,0.165832
EH7 5,0.000475,0.003805
EH7 6,0.000423,0.003386
EH7 9,0.006157,0.049272
EH8 7,0.000068,0.000117
EH8 8,0.000129,0.000223
EH8 9,0.000079,0.000136
EH9 1,0.001323,0.001689
EH9 2,0.043818,0.044292
EH9 3,0.002603,0.019323
EH9 8,0.016270,0.020770
EN1 1,0.000021,0.000080
EN1 2,0.000024,0.000089
