name,sw_high,sw_low
BD21 1,0.131649,0.332230
BD21 2,0.137023,0.304974
BD21 3,0.223439,0.460096
BD21 4,0.113027,0.281227
BD21 5,0.142037,0.375857
BD21 9,0.142822,0.338749
BD22 0,0.130990,0.372684
BD22 6,0.134398,0.360382
BD22 7,0.127700,0.315971
BD22 8,0.064653,0.184910
BD22 9,0.094748,0.177144
BD23 1,0.155747,0.272982
BD23 2,0.179514,0.312646
BD23 3,0.104374,0.219690
BD23 4,0.107571,0.227744
BD23 5,0.075662,0.224657
BD23 6,0.128548,0.248879
BD23 9,0.063954,0.127571
BD24 0,0.099066,0.147127
BD24 9,0.123934,0.246301
BD3 0,0.105153,0.353986
BD3 7,0.093128,0.289783
BD3 8,0.080674,0.297544
BD3 9,0.095974,0.297920
BD4 0,0.078532,0.233967
BD4 6,0.072503,0.207258
BD4 7,0.080592,0.239763
BD4 8,0.116805,0.274570
BD4 9,0.086056,0.267085
BD5 0,0.158275,0.290852
BD5 5,0.137426,0.307699
BD5 7,0.146285,0.319659
BD5 8,0.134809,0.330649
BD5 9,0.117889,0.296329
BD6 1,0.061553,0.174925
BD6 2,0.032474,0.194654
BD6 3,0.064133,0.173252
BD7 1,0.106749,0.265542
BD7 2,0.044344,0.135834
BD7 3,0.089998,0.224028
BD7 4,0.073064,0.217304
BD8 0,0.097480,0.285687
BD8 7,0.111258,0.233048
BD8 8,0.077778,0.189297
BD8 9,0.096297,0.362491
BD9 4,0.051041,0.217958
BD9 5,0.046426,0.195684
BD9 6,0.092838,0.331863
BH1 1,0.012341,0.276719
BH1 2,0.087865,0.493289
BH1 3,0.008344,0.221191
BH1 4,0.012281,0.303132
BH10 4,0.053800,0.204175
BH10 5,0.074281,0.188733
BH10 6,0.016933,0.064085
BH10 7,0.131596,0.348272
BH11 0,0.028724,0.103686
BH11 8,0.015341,0.120488
BH11 9,0.036398,0.085137
BH12 1,0.082599,0.237297
BH12 2,0.124778,0.248046
BH12 3,0.057810,0.241323
BH12 4,0.056256,0.234836
BH12 5,0.034637,0.196795
BH12 9,0.073183,0.233974
BH13 6,0.044116,0.194000
BH13 7,0.020455,0.135721
BH14 0,0.051318,0.194306
BH14 4,0.065750,0.202776
BH14 8,0.082648,0.229835
BH14 9,0.056114,0.169009
BH15 1,0.112994,0.486859
BH15 2,0.066249,0.235246
BH15 3,0.117053,0.269366
BH15 4,0.071435,0.230221
BH15 9,0.092932,0.305453
BH16 5,0.066193,0.187920
BH16 6,0.060626,0.097028
BH17 0,0.278147,0.445844
BH17 7,0.077240,0.302032
BH17 8,0.114441,0.304260
BH17 9,0.249228,0.310768
BH18 8,0.087632,0.138386
BH18 9,0.077991,0.167349
BH19 1,0.158365,0.259343
BH19 2,0.071621,0.169678
BH19 3,0.076124,0.104233
BH19 9,0.102420,0.187938
BH2 5,0.002746,0.263690
BH2 6,0.035296,0.188428
BH20 4,0.054851,0.143504
BH20 5,0.074569,0.156804
BH20 6,0.050838,0.166533
BH20 7,0.076399,0.161202
BH20 9,0.064329,0.157242
BH21 1,0.112113,0.226051
BH21 2,0.046115,0.152533
BH21 3,0.024092,0.073512
BH21 4,0.039766,0.147308
BH21 5,0.030078,0.069249
BH21 6,0.077457,0.182582
BH21 7,0.084746,0.182168
BH21 8,0.072806,0.158639
BH21 9,0.060174,0.149005
BH22 0,0.039286,0.173305
BH22 2,0.053575,0.159744
BH22 8,0.042356,0.148052
BH22 9,0.072912,0.159844
BH23 1,0.040161,0.335392
BH23 2,0.115319,0.316928
BH23 3,0.043540,0.212989
BH23 4,0.092370,0.297984
BH23 5,0.046472,0.172204
BH23 6,0.164942,0.273173
BH23 7,0.174005,0.341790
BH23 8,0.073653,0.222612
