name,burglaries,months
BN23 5,21,36
BN23 6,54,36
BN23 7,71,36
BN23 8,42,36
BN24 5,29,36
BN24 6,12,36
BN24 9,0,36
BN25 1,26,36
BN25 2,17,36
BN25 3,39,36
BN25 4,12,36
BN25 9,0,36
BN26 5,32,36
BN26 6,43,36
BN26 9,0,36
BN27 1,46,36
BN27 2,43,36
BN27 3,65,36
BN27 4,43,36
BN27 9,0,36
BN3 1,111,36
BN3 2,104,36
BN3 3,87,36
BN3 4,62,36
BN3 5,78,36
BN3 6,66,36
BN3 7,65,36
BN3 8,51,36
BN41 1,70,36
BN41 2,57,36
BN41 9,0,36
BN42 4,93,36
BN43 5,60,36
BN43 6,62,36
BN43 9,0,36
BN44 3,40,36
BN45 7,16,36
BN5 0,0,36
BN5 9,79,36
BN6 0,0,36
BN6 8,78,36
BN6 9,168,36
BN7 1,76,36
BN7 2,67,36
BN7 3,28,36
BN7 9,0,36
BN8 4,36,36
BN8 5,45,36
BN8 6,52,36
BN9 0,32,36
BN9 1,0,36
BN9 9,71,36
BR1 1,126,36
BR1 2,103,36
BR1 3,153,36
BR1 4,155,36
BR1 5,156,36
BR1 9,3,36
BR2 0,132,36
BR2 6,29,36
BR2 7,64,36
BR2 8,99,36
BR2 9,128,36
BR3 1,204,36
BR3 3,146,36
BR3 4,126,36
BR3 5,95,36
BR3 6,74,36
BR3 9,0,36
BR4 0,114,36
BR4 4,0,36
BR4 9,81,36
BR5 1,113,36
BR5 2,171,36
BR5 3,224,36
BR5 4,136,36
BR6 0,196,36
BR6 1,0,36
BR6 6,52,36
BR6 7,81,36
BR6 8,87,36
BR6 9,127,36
BR7 5,118,36
BR7 6,135,36
BR8 7,134,36
BR8 8,50,36
BR8 9,0,36
BS1 1,174,36
BS1 2,131,36
BS1 3,206,36
BS1 4,105,36
BS1 5,239,36
BS1 6,295,36
BS1 9,2,36
BS10 5,130,36
BS10 6,136,36
BS10 7,148,36
BS11 0,135,36
BS11 1,0,36
BS11 8,35,36
BS11 9,117,36
BS13 0,139,36
BS13 7,119,36
BS13 8,82,36
BS13 9,99,36
BS14 0,157,36
BS14 8,105,36
BS14 9,137,36
BS15 0,0,36
BS15 1,183,36
BS15 3,72,36
BS15 4,149,36
BS15 8,98,36
BS15 9,65,36
BS16 0,0,36
BS16 1,220,36
BS16 2,182,36
BS16 3,177,36
BS16 4,87,36
BS16 5,96,36
BS16 6,59,36
BS16 7,85,36
BS16 9,101,36
BS2 0,252,36
BS2 2,0,36
BS2 8,235,36
BS2 9,137,36
BS20 0,52,36
BS20 1,0,36
BS20 6,58,36
BS20 7,86,36
BS20 8,18,36
BS21 5,16,36
BS21 6,69,36
BS21 7,49,36
BS21 9,0,36
BS22 6,74,36
BS22 7,28,36
BS22 8,67,36
BS22 9,44,36
BS23 1,166,36
BS23 2,132,36
BS23 3,219,36
BS23 4,85,36
BS23 9,2,36
BS24 0,21,36
BS24 6,12,36
BS24 7,48,36
BS24 8,25,36
BS24 9,74,36
BS25 1,37,36
BS25 5,20,36
BS25 9,0,36
BS26 2,46,36
BS27 3,64,36
BS28 4,27,36
BS29 6,27,36
BS3 1,199,36
BS3 2,108,36
BS3 3,75,36
BS3 4,131,36
BS3 5,89,36
BS3 9,0,36
BS30 5,64,36
BS30 6,43,36
BS30 7,36,36
BS30 8,64,36
BS30 9,48,36
BS31 1,116,36
BS31 2,69,36
BS31 3,20,36
BS31 9,0,36
BS32 0,29,36
BS32 4,47,36
BS32 8,55,36
BS32 9,26,36
BS34 4,0,36
BS34 5,179,36
BS34 6,54,36
BS34 7,115,36
BS34 8,133,36
BS34 9,1,36
BS35 1,48,36
BS35 2,71,36
BS35 3,32,36
BS35 4,39,36
BS35 5,10,36
BS35 9,0,36
BS36 1,79,36
BS36 2,78,36
BS37 0,0,36
BS37 4,97,36
BS37 5,98,36
BS37 6,86,36
BS37 7,116,36
BS37 8,44,36
BS37 9,20,36
BS39 4,37,36
BS39 5,32,36
BS39 6,35,36
BS39 7,31,36
BS4 1,191,36
BS4 2,112,36
BS4 3,112,36
BS4 4,145,36
BS4 5,114,36
BS40 5,62,36
BS40 6,23,36
BS40 7,14,36
BS40 8,33,36
BS40 9,8,36
BS41 8,12,36
BS41 9,83,36
BS48 1,61,36
BS48 2,25,36
BS48 3,56,36
BS48 4,40,36
BS48 9,0,36
BS49 4,61,36
BS49 5,41,36
BS5 0,210,36
BS5 5,0,36
BS5 6,262,36
BS5 7,166,36
BS5 8,127,36
BS5 9,168,36
BS6 5,188,36
BS6 6,143,36
BS6 7,149,36
BS6 9,0,36
BS7 0,214,36
BS7 8,170,36
BS7 9,249,36
BS8 1,106,36
BS8 2,136,36
BS8 3,110,36
BS8 4,136,36
BS8 9,0,36
BS9 0,0,36
BS9 1,111,36
BS9 2,84,36
BS9 3,130,36
BS9 4,111,36
CA1 1,39,36
CA1 2,117,36
CA1 3,42,36
CA1 9,0,36
CA10 1,16,36
CA10 2,20,36
CA10 3,22,36
CA11 0,56,36
CA11 1,0,36
CA11 7,35,36
CA11 8,34,36
CA11 9,35,36
CA12 4,24,36
CA12 5,25,36
CA13 0,25,36
CA13 3,0,36
CA13 9,31,36
CA14 1,50,36
CA14 2,104,36
CA14 3,130,36
CA14 4,23,36
CA14 5,56,36
CA14 9,0,36
CA15 6,43,36
CA15 7,35,36
