name,d02_high,d02_low,d03_high,d03_low,d06_high,d06_low,d09_high,d09_low,d12_high,d12_low,basis
B34,0.063292,0.146294,0.021405,0.067671,0.003039,0.009460,0.000052,0.000299,0.000032,0.000130,postcode
B35,0.019664,0.245392,0.001354,0.131381,0.000172,0.030911,0.000060,0.003678,0.000037,0.000150,postcode
B36,0.047448,0.164316,0.024500,0.090840,0.000088,0.022574,0.000031,0.006979,0.000019,0.000076,postcode
B37,0.033923,0.103021,0.010090,0.056423,0.000070,0.009909,0.000025,0.002866,0.000015,0.000061,postcode
B38,0.049277,0.127047,0.013209,0.066833,0.002168,0.006749,0.000037,0.000213,0.000023,0.000093,postcode
B40,0.029005,0.116696,0.013101,0.077877,0.001660,0.008814,0.000580,0.003336,0.000355,0.001450,postcode
B42,0.084073,0.177090,0.057157,0.129776,0.028224,0.054504,0.021119,0.037713,0.014077,0.030550,postcode
B43,0.031736,0.091521,0.011358,0.043288,0.003637,0.007577,0.000032,0.003729,0.000019,0.001853,postcode
B44,0.038544,0.146467,0.013013,0.078041,0.000080,0.009711,0.000028,0.000160,0.000017,0.000070,postcode
B45,0.044802,0.106204,0.025851,0.058166,0.007095,0.013024,0.001430,0.008572,0.000015,0.001468,postcode
B46,0.018735,0.062353,0.005066,0.015609,0.000108,0.000575,0.000038,0.000218,0.000023,0.000095,postcode
B47,0.046663,0.104383,0.017279,0.068291,0.000202,0.004993,0.000071,0.000406,0.000043,0.000176,postcode
B48,0.048014,0.121663,0.037031,0.076715,0.000227,0.014420,0.000079,0.009266,0.000048,0.000198,postcode
B49,0.037063,0.101039,0.008473,0.045806,0.000128,0.000680,0.000045,0.000257,0.000027,0.000112,postcode
B50,0.025649,0.089642,0.001766,0.032236,0.000224,0.001188,0.000078,0.000450,0.000048,0.000195,postcode
B60,0.029134,0.079666,0.014512,0.039967,0.001338,0.005437,0.000023,0.001404,0.000014,0.000057,postcode
B61,0.037600,0.101910,0.011329,0.042337,0.002765,0.008455,0.000024,0.004182,0.000015,0.001408,postcode
B62,0.054883,0.137864,0.022036,0.068231,0.001868,0.007590,0.000032,0.000184,0.000020,0.000080,postcode
B63,0.052301,0.129946,0.027374,0.059353,0.001345,0.002907,0.000023,0.001411,0.000014,0.001336,postcode
B64,0.081550,0.210938,0.042780,0.139233,0.006397,0.034116,0.004231,0.012795,0.002119,0.008480,postcode
B65,0.079204,0.193984,0.036685,0.104753,0.001988,0.013749,0.000034,0.002086,0.000021,0.000085,postcode
B66,0.060534,0.167174,0.038225,0.098954,0.010806,0.027274,0.005389,0.023399,0.003591,0.021509,postcode
