name,sw_high,sw_low
PH37,0.0,0.0
PH38,0.0,0.0
PH39,0.0,0.0
PH40,0.0,0.0
PH41,0.0,0.0
PH42,0.0,0.0
PH43,0.0,0.0
PH44,0.0,0.0
PH49,0.0,0.0
PH50,0.0,0.0
PL1,0.07082,0.14012
PL2,0.08428,0.18461
PL3,0.08386,0.19509
PL4,0.13109,0.27198
PL5,0.04406,0.10415
PL6,0.04686,0.10874
PL7,0.07266,0.14938
PL8,0.02038,0.04131
PL9,0.0228,0.05089
PL10,0.01081,0.02489
PL11,0.02695,0.05103
PL12,0.03559,0.06437
PL13,0.02446,0.04553
PL14,0.05434,0.10361
PL15,0.05733,0.13898
PL16,0.03598,0.07601
PL17,0.02693,0.06492
PL18,0.0414,0.09314
PL19,0.03651,0.09223
PL20,0.06238,0.14016
PL21,0.04067,0.0977
PL22,0.03131,0.06527
PL23,0.01501,0.03191
PL24,0.03725,0.07559
PL25,0.04544,0.11178
PL26,0.07024,0.13072
PL27,0.04128,0.09733
PL28,0.01896,0.04426
PL29,0.02204,0.0495
PL30,0.04709,0.11231
PL31,0.04772,0.11963
PL32,0.06791,0.17684
PL33,0.02753,0.07732
PL34,0.01569,0.05145
PL35,0.01773,0.05292
PO1,0.14188,0.28711
PO2,0.08914,0.20105
PO3,0.08004,0.17971
PO4,0.04416,0.10771
PO5,0.05324,0.11414
PO6,0.08255,0.16987
PO7,0.07005,0.1158
PO8,0.02828,0.05367
PO9,0.07972,0.13605
PO10,0.05456,0.10505
PO11,0.02497,0.05458
PO12,0.04585,0.09656
PO13,0.05747,0.11431
PO14,0.06421,0.11754
PO15,0.12513,0.19285
PO16,0.0809,0.14131
PO17,0.07897,0.11768
PO18,0.02444,0.04842
PO19,0.0934,0.19106
PO20,0.04373,0.10137
PO21,0.04401,0.12154
PO22,0.06363,0.14163
PO30,0.04977,0.08068
PO31,0.04085,0.06462
PO32,0.02665,0.04399
PO33,0.06314,0.10001
PO34,0.02075,0.02976
PO35,0.02904,0.05083
PO36,0.05265,0.08558
PO37,0.01818,0.02991
PO38,0.02159,0.03787
PO39,0.00339,0.00662
PO40,0.01852,0.03437
PO41,0.03514,0.05716
PR1,0.20094,0.3409
PR2,0.15437,0.25329
PR3,0.13657,0.20991
PR4,0.17645,0.27528
PR5,0.133,0.21594
PR6,0.08555,0.1517
PR7,0.1187,0.19761
PR8,0.24337,0.29856
PR9,0.28159,0.38773
PR25,0.14396,0.25563
PR26,0.19955,0.31366
RG1,0.10418,0.24697
RG2,0.13224,0.24799
RG4,0.03133,0.08084
RG5,0.07051,0.19083
RG6,0.11307,0.24208
RG7,0.09697,0.16314
RG8,0.02348,0.05668
RG9,0.02416,0.05161
RG10,0.10302,0.18409
RG12,0.11363,0.19617
RG14,0.09837,0.17243
RG17,0.02847,0.05084
RG18,0.0619,0.11342
RG19,0.11349,0.18299
RG20,0.0433,0.07269
RG21,0.10137,0.17953
RG22,0.0739,0.13295
RG23,0.02627,0.049
RG24,0.12853,0.20008
RG25,0.01474,0.03178
RG26,0.06884,0.10945
RG27,0.09562,0.15633
RG28,0.01696,0.0319
RG29,0.0575,0.0981
RG30,0.08312,0.17685
RG31,0.09728,0.17068
RG40,0.10741,0.19667
RG41,0.11477,0.21521
RG42,0.16332,0.26031
RG45,0.05016,0.11314
RH1,0.11398,0.19194
RH2,0.09401,0.16382
RH3,0.08578,0.15312
RH4,0.04615,0.08275
RH5,0.07577,0.12471
RH6,0.19608,0.32769
RH7,0.13358,0.21081
RH8,0.08495,0.14195
RH9,0.10568,0.17481
RH10,0.09404,0.15647
RH11,0.13488,0.21947
RH12,0.09549,0.15235
RH13,0.10296,0.15498
RH14,0.11221,0.16712
RH15,0.1507,0.23035
RH16,0.07541,0.11975
RH17,0.07182,0.10481
RH18,0.06975,0.10821
RH19,0.07697,0.11633
RH20,0.06851,0.10743
RM1,0.18182,0.33023
RM2,0.17912,0.33518
RM3,0.18925,0.32206
RM4,0.10755,0.20301
RM5,0.17724,0.33094
RM6,0.25891,0.41942
RM7,0.22906,0.41304
RM8,0.50907,0.71346
RM9,0.53439,0.67891
RM10,0.47252,0.66288
RM11,0.14457,0.28795
RM12,0.14265,0.30634
RM13,0.10788,0.26634
RM14,0.18343,0.32016
RM15,0.14414,0.25609
RM16,0.25923,0.34211
RM17,0.4968,0.5481
RM18,0.33154,0.38032
RM19,0.42348,0.48596
RM20,0.47249,0.56389
S1,0.17755,0.38247
S2,0.08504,0.21708
S3,0.15767,0.33505
S4,0.17117,0.37389
S5,0.08374,0.20591
S6,0.05913,0.18389
S7,0.11006,0.26288
S8,0.06943,0.15525
S9,0.14643,0.32057
S10,0.08136,0.20937
S11,0.05402,0.1566
S12,0.03771,0.09357
S13,0.07297,0.16635
S14,0.05755,0.12293
S17,0.06039,0.14459
S18,0.03683,0.08341
S20,0.07068,0.15625
S21,0.05539,0.11645
S25,0.05952,0.12091
S26,0.04699,0.09896
S32,0.03934,0.08774
S33,0.06163,0.12909
S35,0.04331,0.09749
S36,0.06635,0.15739
S40,0.09691,0.21472
S41,0.08664,0.17494
S42,0.05487,0.10436
S43,0.06401,0.12999
S44,0.05794,0.11121
S45,0.0456,0.09128
S60,0.0865,0.18754
S61,0.06533,0.15927
S62,0.05833,0.1374
S63,0.08007,0.19384
S64,0.07452,0.1746
S65,0.07477,0.15932
S66,0.04981,0.10735
S70,0.07018,0.16374
S71,0.08497,0.18355
S72,0.04705,0.1056
S73,0.09023,0.199
S74,0.07864,0.17734
S75,0.05148,0.12345
S80,0.03808,0.08291
S81,0.04439,0.09713
SA1,0.0,0.0
SA2,0.0,0.0
SA3,0.0,0.0
SA4,0.0,0.0
SA5,0.0,0.0
SA6,0.0,0.0
SA7,0.0,0.0
SA8,0.0,0.0
SA9,0.0,0.0
SA10,0.0,0.0
SA11,0.0,0.0
SA12,0.0,0.0
SA13,0.0,0.0
SA14,0.0,0.0
SA15,0.0,0.0
SA16,0.0,0.0
SA17,0.0,0.0
SA18,0.0,0.0
SA19,0.0,0.0
SA20,0.0,0.0
SA31,0.0,0.0
SA32,0.0,0.0
SA33,0.0,0.0
SA34,0.0,0.0
SA35,0.0,0.0
SA36,0.0,0.0
SA37,0.0,0.0
SA38,0.0,0.0
SA39,0.0,0.0
SA40,0.0,0.0
SA41,0.0,0.0
SA42,0.0,0.0
SA43,0.0,0.0
SA44,0.0,0.0
SA45,0.0,0.0
SA46,0.0,0.0
SA47,0.0,0.0
SA48,0.0,0.0
SA61,0.0,0.0
SA62,0.0,0.0
SA63,0.0,0.0
SA64,0.0,0.0
SA65,0.0,0.0
SA66,0.0,0.0
SA67,0.0,0.0
SA68,0.0,0.0
SA69,0.0,0.0
SA70,0.0,0.0
SA71,0.0,0.0
SA72,0.0,0.0
SA73,0.0,0.0
SE1,0.22532,0.51967
SE2,0.13325,0.31952
SE3,0.16329,0.30146
SE4,0.21026,0.36738
SE5,0.17672,0.61963
SE6,0.21532,0.40108
SE7,0.19036,0.31221
SE8,0.21309,0.44549
SE9,0.14118,0.2601
SE10,0.16665,0.32804
SE11,0.20438,0.82267
SE12,0.19943,0.36214
SE13,0.21367,0.3771
SE14,0.23536,0.45751
SE15,0.32434,0.60868
SE16,0.18436,0.43449
SE17,0.21602,0.75017
SE18,0.16332,0.30682
SE19,0.15586,0.30735
SE20,0.28984,0.44519
SE21,0.15929,0.51969
SE22,0.19725,0.40939
SE23,0.16557,0.38126
SE24,0.18144,0.49225
SE25,0.2381,0.39811
SE26,0.1659,0.37542
SE27,0.1266,0.40554
SE28,0.11874,0.2652
SG1,0.07774,0.18817
SG2,0.05623,0.11848
SG3,0.06061,0.11144
SG4,0.03227,0.07307
SG5,0.05509,0.11369
SG6,0.15948,0.25898
SG7,0.0565,0.11455
SG8,0.05298,0.12551
SG9,0.05229,0.11631
SG10,0.05335,0.10703
SG11,0.0481,0.09576
SG12,0.05722,0.11833
SG13,0.084,0.16636
SG14,0.04726,0.10734
SG15,0.13739,0.23411
SG16,0.0926,0.20042
SG17,0.07217,0.1564
SG18,0.08418,0.19628
SG19,0.11587,0.23126
SK1,0.13836,0.28387
SK2,0.15346,0.32922
SK3,0.14738,0.34371
SK4,0.17105,0.3574
SK5,0.1376,0.27815
SK6,0.09531,0.18677
SK7,0.13645,0.27514
SK8,0.14823,0.33495
SK9,0.11379,0.21527
SK10,0.06245,0.12127
