name,hh_total,hh_depchild
BA2 6,2546.61,567.09
BA2 7,2149.11,542.24
BA2 8,3397.83,996.05
BA2 9,758.09,181.13
BA20 1,1839.2,363.85
BA20 2,3597.56,876.36
BA20 9,261.56,88.85
BA21 3,6057.63,1776.84
BA21 4,4077.71,1138.3
BA21 5,4943.65,1537.08
BA22 7,1625.23,348.92
BA22 8,3815.7,1110.94
BA22 9,2493.74,522.68
BA3 2,4763.84,1274.67
BA3 3,4187.03,1338.99
BA3 4,3388.83,964.03
BA3 5,2998.12,778.01
BA3 9,96.88,32.03
BA4 4,2373.31,632.93
BA4 5,3369.09,916.55
BA4 6,2099.28,489.72
BA4 9,306.54,75.82
BA5 1,3073.94,749.49
BA5 2,3411.44,665.42
BA5 3,2026.07,482.45
BA5 9,117.5,24.38
BA6 0,71.64,9.27
BA6 8,2874.62,594.5
BA6 9,3112.87,708.85
BA7 7,1919.01,403.25
BA8 0,1993.17,456.12
BA9 0,83.29,18.98
BA9 8,873.04,205.75
BA9 9,2890.95,792.78
BB1 1,3593.46,1630.28
BB1 2,3719.67,1376.93
BB1 3,1827.9,669.61
BB1 4,3048.46,800.57
BB1 5,2859.21,1160.68
BB1 6,1296.66,643.49
BB1 7,595.86,260.8
BB1 8,3426.77,1503.01
BB1 9,4094.98,1342.66
BB10 1,3419.2,1337.26
BB10 2,4725.0,1419.77
BB10 3,3596.61,1124.87
BB10 4,4590.81,1050.35
BB11 1,599.7,165.07
BB11 2,2246.18,718.7
BB11 3,2309.99,667.78
BB11 4,2839.43,821.43
BB11 5,3077.46,957.22
BB11 9,170.26,53.74
BB12 0,3004.65,974.2
BB12 6,4032.08,1168.92
BB12 7,3139.75,912.72
BB12 8,3872.11,971.5
BB12 9,1518.64,382.91
BB18 5,3622.97,968.68
BB18 6,3922.68,1002.86
BB18 9,41.97,13.59
BB2 1,1912.79,690.71
BB2 2,2349.22,746.19
BB2 3,4409.92,1645.85
BB2 4,6469.9,2068.58
BB2 5,2952.61,739.53
BB2 6,3420.62,1538.47
BB2 7,2943.35,905.18
BB2 9,475.25,151.31
BB3 0,4119.9,1150.86
BB3 1,3038.19,834.02
BB3 2,3953.82,994.53
BB3 3,3967.38,1138.16
BB3 9,79.39,19.42
BB4 0,157.5,43.97
BB4 4,3092.82,855.96
BB4 5,2608.71,823.49
BB4 6,3333.01,988.06
BB4 7,2334.71,602.46
BB4 8,3906.13,1223.35
BB4 9,2618.77,714.3
BB5 0,3621.2,1554.22
BB5 1,1818.23,634.78
BB5 2,3279.1,868.87
BB5 3,3639.26,890.23
BB5 4,3785.6,1077.95
BB5 5,5071.21,1509.8
BB5 6,4648.78,1324.82
BB5 9,272.33,118.49
BB6 7,4864.34,1257.54
BB6 8,1457.77,395.03
BB7 0,271.94,52.3
BB7 1,3526.88,897.74
BB7 2,3619.52,1004.79
BB7 3,1315.03,271.58
BB7 4,2385.03,570.4
BB7 9,4576.13,1245.44
BB8 0,2485.8,596.48
BB8 7,2423.39,612.14
BB8 8,2443.97,663.86
BB8 9,3055.08,883.19
BB9 0,3977.28,1433.95
BB9 4,503.93,247.58
BB9 5,2622.35,951.14
BB9 6,2308.68,552.0
BB9 7,2075.03,991.87
BB9 8,3454.07,1128.78
BB9 9,2877.57,1110.41
BB94 0,22.37,5.2
BD1 1,449.3,89.83
BD1 2,824.57,217.25
BD1 3,555.54,142.73
BD1 4,570.72,165.18
BD1 5,623.14,148.5
BD1 9,380.18,106.49
BD10 0,4362.83,1470.31
BD10 8,4543.06,1419.63
BD10 9,3025.5,864.64
BD11 1,2496.01,641.78
BD11 2,2486.17,772.09
BD12 0,2496.67,659.77
BD12 7,1003.27,279.25
BD12 8,2161.78,675.22
BD12 9,2038.94,526.95
BD13 1,2109.68,651.2
BD13 2,3511.68,1017.11
BD13 3,2984.07,875.29
BD13 4,1652.59,479.25
BD13 5,1479.12,383.11
BD13 9,42.45,16.0
BD14 6,3513.95,1041.99
BD15 0,1944.35,452.24
BD15 7,3161.64,1282.86
BD15 8,340.12,135.72
BD15 9,1206.43,390.16
BD16 1,4160.92,1084.5
BD16 2,1860.77,411.08
BD16 3,2407.61,643.3
BD16 4,3264.58,872.35
BD16 9,29.72,11.2
BD17 5,3133.78,799.88
BD17 6,2967.46,684.28
BD17 7,2533.15,602.09
BD18 1,3183.41,985.37
BD18 2,2749.84,837.31
BD18 3,2795.49,715.46
BD18 4,3152.35,844.26
BD18 9,84.91,32.0
BD19 3,2550.5,647.64
BD19 4,4099.59,1179.3
BD19 5,1373.75,395.14
BD19 6,2131.32,616.86
BD19 9,34.12,10.43
BD2 1,3530.76,1208.41
BD2 2,2154.94,584.41
BD2 3,3646.11,1399.92
BD2 4,3221.38,1153.94
BD20 0,2734.14,624.68
BD20 5,3009.47,858.24
BD20 6,3270.16,925.25
BD20 7,2276.38,627.72
BD20 8,2773.05,778.8
BD20 9,2084.58,431.26
BD21 1,2457.72,775.5
BD21 2,1822.77,772.58
BD21 3,1347.02,596.04
BD21 4,2651.36,906.97
BD21 5,1942.79,575.73
BD21 9,89.87,21.01
BD22 0,2320.49,626.13
BD22 6,3299.7,1010.5
BD22 7,3649.82,1061.32
BD22 8,1711.22,380.11
BD22 9,2151.41,511.57
BD23 0,13.49,1.7
BD23 1,2971.2,684.2
BD23 2,3711.06,871.75
BD23 3,1986.0,389.25
BD23 4,1648.94,344.66
BD23 5,1573.03,236.7
BD23 6,1752.74,421.22
BD23 9,317.03,39.91
BD24 0,872.01,147.63
BD24 9,1663.87,247.68
BD3 0,2844.43,1265.87
BD3 7,2387.55,1224.63
BD3 8,2816.49,1437.38
BD3 9,2170.31,1063.39
BD4 0,2917.77,1025.14
BD4 6,3075.69,1171.16
BD4 7,1991.02,713.31
BD4 8,2872.24,1099.52
BD4 9,2467.16,817.63
BD5 0,1966.8,694.07
BD5 5,134.82,76.19
BD5 7,1539.35,834.45
BD5 8,2857.5,1216.14
BD5 9,3353.08,1724.49
BD6 1,3878.01,1149.01
BD6 2,3279.63,1158.28
BD6 3,5364.83,2001.82
BD7 1,1245.69,424.19
BD7 2,3428.55,1766.63
BD7 3,2612.88,1273.17
BD7 4,3441.88,1290.17
BD8 0,2968.64,1342.18
BD8 7,1634.81,646.86
BD8 8,1969.01,958.6
BD8 9,3066.84,1625.12
BD9 4,2751.07,1257.67
BD9 5,2686.92,1331.9
BD9 6,3395.82,1921.87
BD97 1,25.27,6.18
BD98 8,32.4,4.37
BD99 2,22.08,10.35
BD99 4,16.47,3.14
BD99 9,14.64,7.45
BH1 1,1873.7,250.2
BH1 2,958.63,127.69
BH1 3,3199.98,474.39
BH1 4,4600.91,1154.09
BH1 9,583.49,133.42
BH10 4,2191.28,612.54
BH10 5,3005.67,876.11
BH10 6,1980.86,484.56
BH10 7,1841.77,462.64
BH11 0,156.84,51.16
BH11 8,3836.21,1244.02
BH11 9,4717.49,1167.39
BH12 1,2676.78,667.58
BH12 2,3202.54,867.87
BH12 3,3324.79,949.42
BH12 4,3611.56,1121.82
BH12 5,1768.78,505.59
BH12 9,378.72,144.0
BH13 6,2192.77,243.12
BH13 7,1870.84,293.12
BH14 0,3395.05,860.4
BH14 4,241.52,60.95
BH14 8,4425.37,1011.53
BH14 9,3261.74,933.72
BH15 1,3177.23,632.41
BH15 2,3425.09,849.7
BH15 3,4379.88,1247.68
BH15 4,4667.19,1219.28
BH15 9,158.81,33.7
BH16 5,4348.11,1309.14
BH16 6,2220.1,509.73
BH17 0,359.49,110.94
BH17 7,3542.41,937.05
BH17 8,3148.73,1011.95
BH17 9,2378.25,683.24
BH18 0,18.88,5.86
BH18 8,2518.18,538.37
BH18 9,2752.3,711.11
BH19 1,2115.77,324.11
BH19 2,2271.54,471.38
BH19 3,959.23,163.15
BH19 9,51.55,10.64
BH2 5,2617.39,356.59
BH2 6,2466.51,336.98
BH20 4,2678.42,553.24
BH20 5,1687.47,330.98
BH20 6,2178.75,662.49
BH20 7,2075.75,522.65
BH20 9,25.81,6.04
BH21 1,4165.29,892.96
BH21 2,4121.53,1190.8
BH21 3,4778.08,1331.12
BH21 4,1321.32,345.67
BH21 5,1061.61,267.46
BH21 6,1006.97,284.08
BH21 7,1546.81,356.91
BH21 8,175.66,44.97
BH21 9,177.24,21.47
BH22 0,3422.7,522.06
BH22 2,132.58,18.77
BH22 8,4644.16,912.94
BH22 9,4312.81,764.27
BH23 1,2924.14,601.1
BH23 2,4786.0,1430.82
BH23 3,4177.45,1036.11
BH23 4,4679.76,889.63
BH23 5,3640.92,558.78
BH23 6,519.97,100.61
BH23 7,2229.32,545.73
BH23 8,1803.36,450.93
BH23 9,252.05,82.91
BH24 1,4508.24,1172.44
BH24 2,3493.88,630.76
BH24 3,2128.23,552.4
BH24 4,549.35,111.62
BH24 9,62.42,10.87
BH25 5,5499.49,1161.47
BH25 6,3142.68,602.72
BH25 7,3131.83,345.55
BH25 9,159.46,27.5
BH3 7,2263.1,512.48
BH31 6,4000.14,1042.61
BH31 7,1587.95,384.7
BH31 9,18.19,4.81
BH4 0,260.2,37.41
BH4 8,2548.33,291.68
BH4 9,2300.51,346.66
BH5 1,3368.17,628.14
BH5 2,2066.37,521.77
BH6 3,4275.45,850.27
BH6 4,1999.8,347.36
BH6 5,4119.75,1279.91
BH7 6,3435.1,1069.6
BH7 7,1394.17,440.81
BH8 0,3090.24,1012.2
BH8 8,5160.67,1348.35
BH8 9,4303.1,1288.4
BH9 1,4303.14,1299.57
BH9 2,4062.16,1210.23
BH9 3,3763.65,1286.79
BL0 0,2524.72,679.41
BL0 9,4754.47,1303.28
BL1 1,793.89,139.14
BL1 2,1579.21,440.63
BL1 3,3987.88,1503.67
BL1 4,3763.96,1359.89
BL1 5,4929.7,1561.55
BL1 6,3618.44,1130.65
BL1 7,3750.39,1154.26
BL1 8,4631.11,1571.82
BL1 9,295.74,52.59
BL11 1,143.67,34.95
BL2 1,1735.33,458.54
BL2 2,4004.39,1256.34
BL2 3,3594.4,957.65
BL2 4,2273.44,552.29
BL2 5,3969.14,1362.94
BL2 6,4805.62,1383.77
BL3 1,5349.43,1494.99
BL3 2,3582.99,1610.32
BL3 3,5051.23,2094.11
BL3 4,5336.96,1984.81
BL3 5,2943.39,1197.56
BL3 6,2327.98,955.91
BL4 0,4026.63,1562.44
BL4 4,18.85,5.6
BL4 7,3103.67,1005.05
BL4 8,3585.01,1018.0
BL4 9,3768.17,1221.9
BL5 1,1286.05,299.42
BL5 2,5126.51,1574.76
BL5 3,5615.87,1504.81
BL6 4,2659.6,775.83
BL6 5,4613.41,1263.73
BL6 6,3333.97,827.8
BL6 7,3143.3,761.65
BL6 9,226.22,67.25
BL7 0,1383.45,363.23
BL7 8,238.48,51.72
BL7 9,5057.15,1357.48
BL78 1,74.46,28.18
BL78 7,8.59,1.42
BL8 1,5270.19,1597.69
BL8 2,4082.56,1105.91
BL8 3,3331.41,983.41
BL8 4,2527.94,662.08
BL8 9,467.05,130.96
BL9 0,1694.95,557.81
BL9 5,2746.18,843.42
BL9 6,4545.59,1335.8
BL9 7,4287.1,1417.78
BL9 8,3577.63,985.36
BL9 9,4546.37,1527.31
BN1 1,967.24,104.89
BN1 2,2626.84,243.41
BN1 3,5512.61,679.02
BN1 4,3870.98,559.64
BN1 5,4326.92,1232.9
BN1 6,7601.97,2228.93
BN1 7,3033.87,1019.23
BN1 8,5936.6,1929.42
BN1 9,1830.49,457.77
BN10 7,3789.09,985.99
BN10 8,4757.27,1255.42
BN10 9,106.17,29.83
BN11 1,1892.6,361.81
BN11 2,4141.53,1029.76
BN11 3,2978.08,412.25
BN11 4,3977.8,812.11
BN11 5,3012.76,647.24
BN11 9,634.53,147.81
BN12 4,3764.0,847.72
BN12 5,2523.98,320.17
BN12 6,3302.22,965.43
BN12 9,167.49,39.45
BN13 1,3774.91,1069.57
BN13 2,4681.03,1241.02
BN13 3,4446.71,1389.53
BN14 0,2509.77,470.53
BN14 7,4554.18,1430.28
BN14 8,2867.03,943.81
BN14 9,3173.33,974.11
BN15 0,3495.49,941.65
BN15 5,118.26,32.22
BN15 8,3905.73,756.58
BN15 9,4124.76,1100.34
BN16 1,3113.88,557.58
BN16 2,3589.5,394.3
BN16 3,3630.11,784.33
BN16 4,3125.35,896.21
BN16 9,564.84,130.84
BN17 5,3317.37,620.61
BN17 6,5521.06,1493.7
BN17 7,5038.91,1721.9
BN18 0,3964.86,1028.61
BN18 8,59.88,8.63
BN18 9,2237.85,427.28
BN2 0,3424.92,686.04
BN2 1,5478.54,518.09
BN2 3,5092.57,952.4
BN2 4,6063.32,1535.26
BN2 5,5847.46,1404.22
BN2 6,3960.75,1149.25
BN2 7,1870.03,354.28
BN2 8,3923.36,873.33
BN2 9,5193.79,1290.87
BN20 0,733.97,113.92
BN20 7,3016.71,331.06
BN20 8,3361.57,1066.58
BN20 9,2267.93,443.43
BN21 1,3345.12,790.39
BN21 2,3947.23,769.61
BN21 3,3120.2,656.66
BN21 4,2191.48,294.02
BN21 9,337.36,51.33
BN22 0,4141.97,1036.9
BN22 7,2993.61,741.69
BN22 8,3963.68,1276.7
BN22 9,2953.37,946.78
BN23 5,2902.34,549.71
BN23 6,3228.31,797.06
BN23 7,3780.79,1000.65
BN23 8,2869.01,901.77
BN24 5,2833.3,902.05
BN24 6,1648.16,227.74
BN24 9,87.32,16.22
BN25 1,2303.6,363.33
BN25 2,3372.02,586.68
BN25 3,3645.78,902.55
BN25 4,1798.37,327.59
BN25 9,86.12,12.94
BN26 5,2818.2,544.38
BN26 6,3375.51,867.28
BN26 9,80.45,21.28
BN27 1,3018.32,814.79
BN27 2,2384.47,694.45
BN27 3,4968.59,1233.14
BN27 4,2705.41,761.99
BN27 9,556.5,112.78
BN3 1,5708.56,829.03
BN3 2,4478.76,577.1
BN3 3,5975.94,984.47
BN3 4,3321.21,874.19
BN3 5,4679.49,1478.68
BN3 6,4625.2,1409.55
BN3 7,4245.13,1569.76
BN3 8,3330.1,1066.81
BN41 1,2965.89,989.33
BN41 2,5885.25,1940.39
BN41 9,352.98,110.78
BN42 4,4382.36,1353.88
BN43 5,5375.34,1395.58
BN43 6,4813.27,1467.82
BN43 9,328.74,64.44
BN44 3,4510.56,1037.95
BN45 7,336.93,95.67
BN5 0,102.82,14.32
