name,er_smp55,er_smp105,er_nfi55,er_nfi105,er_smp105_lo,er_smp105_hi,er_nfi105_lo,er_nfi105_hi,er_gi,er_smp105_m2,er_coastal
AB44 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB45 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB45 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB45 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB51 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB51 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB51 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB51 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB51 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB51 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB51 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB51 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB52 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB53 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB53 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB53 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB53 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB54 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB54 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB54 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB54 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB54 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB55 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB55 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB55 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB56 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB56 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB56 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AB56 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL1 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL1 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL1 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL1 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL1 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL1 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL10 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL10 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL10 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL10 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL2 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL2 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL2 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL3 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL3 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL3 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL3 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL3 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL4 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL4 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL4 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL5 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL5 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL5 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL5 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL5 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL6 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL6 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL7 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL7 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL7 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL7 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL7 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL8 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL8 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL9 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AL9 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
