district,cwd_yr_clim_mm,smd_jja_clim_mm
LS25 3,268.74,123.83
LS25 4,258.22,122.13
LS25 5,286.46,128.14
LS25 6,294.6,130.13
LS25 7,259.39,122.11
LS25 9,302.9,131.69
LS26 0,276.08,124.51
LS26 8,264.34,122.57
LS26 9,278.78,125.43
LS27 0,223.98,112.8
LS27 1,227.8,113.96
LS27 7,245.19,118.67
LS27 8,253.95,120.64
LS27 9,225.91,113.47
LS28 0,212.23,108.27
LS28 5,209.99,108.11
LS28 6,226.52,113.17
LS28 7,204.53,106.01
LS28 8,218.61,110.73
LS28 9,252.09,119.78
LS29 0,170.73,93.5
LS29 1,204.75,107.72
LS29 6,192.32,101.06
LS29 7,184.58,98.63
LS29 8,180.18,96.93
LS29 9,156.93,86.0
LS3 1,289.36,128.76
LS4 2,289.92,129.05
LS5 2,266.3,123.78
LS5 3,264.54,123.11
LS6 1,274.18,126.02
LS6 2,269.61,124.66
LS6 3,256.21,121.17
LS6 4,242.14,117.09
LS7 1,277.86,126.21
LS7 2,253.97,120.69
LS7 3,261.33,122.34
LS7 4,249.75,119.15
LS7 9,272.6,125.18
LS8 1,240.28,116.49
LS8 2,256.96,120.71
LS8 3,263.14,122.42
LS8 4,258.33,121.13
LS8 5,276.06,125.47
LS8 9,270.74,124.18
LS9 0,287.94,127.37
LS9 6,265.35,122.86
LS9 7,270.76,124.18
LS9 8,285.11,127.3
LS9 9,267.14,122.98
LU1 1,303.25,127.22
LU1 2,312.96,129.91
LU1 3,296.69,126.72
LU1 4,283.21,123.25
LU1 5,282.04,122.47
LU1 9,313.79,129.87
LU2 0,293.34,125.7
LU2 7,300.41,126.29
LU2 8,299.16,127.19
LU2 9,289.39,125.46
LU3 1,316.24,130.16
LU3 2,322.19,131.89
LU3 3,311.77,129.07
LU3 4,310.06,128.65
LU4 0,308.27,128.73
LU4 8,308.75,128.53
LU4 9,321.26,131.59
LU5 4,290.14,123.97
LU5 5,318.31,130.13
LU5 6,336.42,133.96
LU5 7,320.16,130.32
LU6 1,321.78,130.94
LU6 2,300.64,127.02
LU6 3,280.27,122.51
LU6 9,308.58,127.81
LU7 0,321.87,131.32
LU7 1,335.39,133.62
LU7 2,318.66,129.44
LU7 3,333.18,133.55
LU7 4,353.9,137.67
LU7 6,355.13,137.77
LU7 9,329.51,132.91
M1 1,171.75,94.75
M1 2,178.06,98.17
M1 3,178.06,98.17
M1 4,178.06,98.17
M1 5,181.4,99.65
M1 6,178.06,98.17
M1 7,178.06,98.18
M11 1,171.46,94.55
M11 2,174.2,96.29
M11 3,172.97,95.73
M11 4,166.73,92.4
M12 0,180.04,99.21
M12 4,177.26,97.82
M12 5,178.51,98.26
M12 6,176.56,97.53
M13 0,181.24,99.54
M13 9,180.04,99.22
M14 0,191.96,104.59
M14 4,186.98,102.58
M14 5,181.63,99.94
M14 6,189.24,103.39
M14 7,193.37,105.55
M15 4,186.44,101.92
M15 5,184.31,101.14
M15 6,184.31,101.14
M16 0,189.83,103.21
M16 6,188.23,102.77
M16 7,188.43,103.01
M16 8,193.11,105.25
M16 9,186.47,101.92
M17 1,197.42,105.09
M17 8,200.71,105.19
M18 7,179.89,98.65
M18 8,177.13,97.38
M19 1,189.77,103.35
M19 2,184.38,100.8
M19 3,179.78,98.62
M2 1,171.75,94.75
M2 2,171.75,94.76
M2 3,181.39,99.64
M2 4,178.26,97.88
M2 5,178.26,97.88
M2 6,178.25,97.87
M2 7,178.24,97.87
M20 1,197.05,107.1
M20 2,202.58,109.14
M20 3,198.56,107.46
M20 4,195.21,106.0
M20 5,206.84,111.14
M20 6,199.71,108.05
M21 0,189.2,103.06
M21 3,188.09,102.17
M21 7,197.77,106.73
M21 8,192.31,104.17
M21 9,190.18,103.19
M22 0,194.11,104.38
M22 1,194.94,103.84
M22 2,201.19,107.75
M22 4,205.33,109.95
M22 5,194.3,104.32
M22 8,201.21,107.76
M22 9,197.0,105.54
M23 0,207.01,109.7
M23 1,206.92,110.25
M23 2,198.58,105.63
M23 9,207.28,109.23
M24 0,159.19,84.94
M24 1,154.4,82.51
M24 2,151.0,80.27
M24 4,153.2,80.44
M24 5,150.46,78.99
M24 6,159.24,85.6
M25 0,165.01,87.9
M25 1,159.35,84.33
M25 2,153.89,80.5
M25 3,153.56,80.5
M25 9,162.29,86.41
M26 1,163.78,88.47
M26 2,173.31,93.43
M26 3,163.62,88.52
M26 4,165.01,89.69
M26 6,164.71,88.95
M27 0,173.51,94.49
M27 4,162.39,88.14
M27 5,173.3,94.21
M27 6,161.24,87.09
M27 8,170.22,92.11
M27 9,160.94,87.07
M28 0,155.05,83.19
M28 1,187.18,100.87
M28 2,181.79,98.48
M28 3,157.45,84.51
M28 7,169.6,92.12
M28 8,172.87,94.07
M29 2,174.86,94.19
M29 7,198.65,105.19
M29 8,168.6,91.25
M3 1,175.86,96.5
M3 2,178.24,97.87
M3 3,178.26,97.88
M3 4,181.4,99.65
M3 5,178.24,97.87
M3 6,178.79,97.9
M3 7,178.24,97.86
M30 0,192.64,102.49
M30 3,192.12,102.41
M30 7,204.44,107.34
M30 8,195.2,104.29
M30 9,186.79,100.69
M31 4,222.78,114.97
M32 0,194.94,104.88
M32 2,190.96,103.46
M32 8,201.08,107.73
M32 9,203.04,107.97
M33 0,204.47,109.06
M33 2,201.67,107.86
M33 3,211.47,111.12
M33 4,221.34,114.39
M33 5,219.64,114.19
M33 6,213.52,112.2
M33 7,213.52,112.2
M34 0,170.92,93.96
M34 2,177.98,97.04
M34 3,173.56,95.21
M34 5,169.62,93.24
M34 6,167.42,91.48
M34 7,165.69,91.04
M35 0,156.15,85.63
M35 9,156.3,85.78
M38 0,158.58,85.5
M38 9,149.26,79.29
M4 1,171.75,94.75
M4 2,171.75,94.75
M4 3,171.75,94.75
M4 4,175.86,96.5
M4 5,171.74,94.75
M4 6,171.78,94.95
M4 7,171.78,94.95
M40 0,152.36,82.18
M40 1,161.75,89.25
M40 2,161.54,89.05
M40 3,153.71,83.57
M40 4,160.78,88.12
M40 5,151.81,81.76
M40 7,166.48,91.3
M40 8,160.77,88.12
M40 9,151.81,81.75
M41 0,205.85,107.06
M41 4,211.16,110.01
M41 5,212.2,109.5
M41 6,220.38,113.65
M41 7,204.3,106.49
M41 8,211.73,109.19
M41 9,210.05,109.91
M43 0,165.07,91.16
M43 6,166.98,92.36
M43 7,162.87,89.87
M44 5,214.57,112.54
M44 6,217.44,112.81
M45 6,152.9,79.94
M45 7,153.66,81.5
M45 8,154.57,81.28
M46 0,173.0,92.77
M46 9,159.3,85.27
M5 0,180.18,98.2
M5 3,189.95,103.13
M5 4,178.81,97.9
M5 5,191.13,102.67
M50 1,192.31,102.76
M50 2,193.61,104.31
M50 3,193.63,104.31
M6 5,183.03,99.39
M6 6,175.85,95.43
M6 7,171.78,93.13
M6 8,176.55,95.59
M7 1,180.66,98.43
M7 2,176.88,95.98
M7 3,172.26,92.9
M7 4,166.72,90.11
M8 0,163.53,88.39
M8 2,161.43,86.8
M8 4,158.61,84.57
M8 5,159.13,85.01
M8 8,165.04,89.89
M8 9,161.43,86.8
M9 0,155.82,82.17
M9 4,157.97,85.88
M9 5,165.48,89.94
M9 6,153.26,81.46
M9 7,149.29,79.67
M9 8,161.95,86.68
M9 9,166.16,89.73
M90 1,194.87,104.06
M90 3,198.02,105.1
M90 4,197.31,104.89
M90 5,198.03,105.1
ME1 1,383.44,140.91
ME1 2,347.59,134.86
ME1 3,356.17,135.39
ME1 9,384.18,141.25
ME10 1,383.7,140.41
ME10 2,384.71,141.62
ME10 3,387.74,141.29
ME10 4,375.04,138.91
ME10 5,387.28,141.46
ME10 9,384.14,140.49
ME11 5,361.44,141.07
ME12 1,340.25,139.28
ME12 2,322.18,136.8
ME12 3,346.03,139.61
ME12 4,337.77,138.97
ME12 6,334.74,138.13
ME12 9,332.15,138.27
ME13 0,333.22,132.52
ME13 3,363.61,137.73
ME13 7,370.68,139.62
ME13 8,363.55,137.66
ME13 9,331.56,133.35
ME14 1,375.95,138.55
ME14 2,360.05,135.92
ME14 3,318.11,129.36
ME14 4,355.56,134.5
ME14 5,356.22,135.18
ME14 9,378.71,138.86
ME15 0,355.21,135.12
ME15 6,362.19,136.17
ME15 7,345.16,133.68
ME15 8,358.61,135.67
ME15 9,334.81,132.18
ME16 0,354.94,135.31
ME16 8,361.79,136.28
ME16 9,345.63,133.84
ME17 1,330.2,130.81
ME17 2,309.4,126.38
ME17 3,356.9,135.43
ME17 4,362.85,136.76
ME18 5,343.64,133.13
ME18 6,379.36,138.28
ME19 4,341.98,134.22
ME19 5,343.97,133.25
ME19 6,347.75,134.51
ME2 1,351.9,134.73
ME2 2,364.37,138.5
ME2 3,346.52,135.88
ME2 4,376.52,140.65
ME20 6,370.63,137.53
ME20 7,356.39,135.32
ME3 0,362.51,142.29
ME3 7,378.25,141.87
ME3 8,366.52,140.83
ME3 9,368.23,141.37
ME4 3,384.46,142.0
ME4 4,372.95,140.25
ME4 5,343.64,134.24
ME4 6,345.16,134.65
ME4 9,370.49,139.11
ME5 0,334.48,132.56
ME5 7,343.92,134.14
ME5 8,316.75,129.52
ME5 9,301.42,126.88
ME6 5,366.48,136.47
ME6 9,376.01,137.95
ME7 1,374.56,140.63
ME7 2,364.55,138.79
ME7 3,316.4,129.34
ME7 4,337.23,133.6
ME7 5,344.06,135.12
ME7 9,350.96,136.64
ME8 0,326.51,131.28
ME8 1,335.6,133.12
ME8 6,344.31,134.97
ME8 7,384.02,140.77
ME8 8,363.06,137.44
ME8 9,333.1,132.09
ME9 0,327.3,130.27
ME9 7,359.8,137.1
ME9 8,361.9,137.96
ME9 9,385.27,141.21
MK1 1,349.15,137.5
MK1 9,357.59,138.62
MK10 0,340.11,134.33
MK10 1,337.52,133.9
MK10 7,347.21,135.44
MK10 9,340.78,134.42
MK11 1,344.43,133.42
MK11 2,324.53,130.25
MK11 3,324.56,130.25
MK11 4,332.86,131.9
MK11 9,324.54,130.25
MK12 5,337.31,132.02
MK12 6,329.22,130.68
MK13 0,334.55,131.8
MK13 7,325.49,130.21
MK13 8,311.91,128.23
MK13 9,328.59,130.8
MK14 5,337.63,132.8
MK14 6,327.19,130.97
MK14 7,315.2,129.17
MK15 0,346.09,135.27
MK15 8,346.05,135.37
MK15 9,351.73,135.59
MK16 0,347.48,135.07
MK16 6,350.47,135.34
MK16 8,328.71,130.28
MK16 9,336.54,132.17
MK17 0,317.31,129.91
MK17 7,344.69,135.47
MK17 8,326.97,131.92
MK17 9,322.38,131.63
MK18 1,322.33,130.39
MK18 2,340.12,134.28
MK18 3,331.45,132.24
MK18 4,323.45,129.87
MK18 5,311.05,127.52
MK18 6,326.22,131.3
MK18 7,331.85,132.69
MK18 9,313.36,129.32
MK19 6,331.8,130.55
MK19 7,331.77,130.19
MK2 2,352.14,137.98
MK2 3,344.13,136.25
MK3 4,305.76,126.49
MK3 5,334.38,133.67
MK3 6,332.27,134.39
MK3 7,319.07,130.3
MK4 1,324.01,131.73
MK4 2,320.34,130.05
MK4 3,313.02,127.53
MK4 4,307.04,126.97
MK40 1,389.39,140.56
MK40 2,391.22,141.87
MK40 3,395.07,142.47
MK40 4,380.39,140.01
MK40 9,389.4,140.56
MK41 0,380.47,141.46
MK41 6,339.59,134.27
MK41 7,362.76,137.74
MK41 8,356.3,136.78
MK41 9,385.13,141.02
MK42 0,395.17,141.79
MK42 5,389.42,140.57
MK42 6,396.95,141.48
MK42 7,388.05,139.88
MK42 8,383.32,139.07
MK42 9,394.1,140.98
MK43 0,344.29,135.68
MK43 1,328.25,130.96
MK43 2,382.44,142.0
MK43 7,342.83,134.67
MK43 8,350.34,135.25
MK43 9,382.11,141.11
MK44 1,325.54,131.54
MK44 2,340.12,135.57
MK44 3,380.77,140.85
MK45 1,340.52,133.45
MK45 2,344.12,134.96
MK45 3,374.92,139.67
MK45 4,347.34,135.9
MK45 5,347.15,135.39
MK45 9,334.2,132.4
MK46 4,345.52,133.75
MK46 5,346.51,134.13
MK5 6,316.5,129.42
MK5 7,318.78,129.9
MK5 8,331.42,132.58
MK6 1,327.95,132.53
MK6 2,320.78,130.81
MK6 3,351.05,137.35
MK6 4,341.55,136.23
MK6 5,326.58,132.34
MK7 6,332.45,132.96
MK7 7,339.53,135.01
MK7 8,349.02,136.83
MK8 0,315.87,129.08
MK8 1,318.52,129.42
MK8 8,323.08,129.93
MK8 9,330.55,131.77
MK9 1,318.41,129.78
MK9 2,318.39,129.78
MK9 3,316.29,129.67
MK9 4,335.85,133.6
ML1 1,164.33,92.55
ML1 2,179.05,100.81
ML1 3,190.08,105.63
ML1 4,148.4,83.91
ML1 5,127.37,70.96
ML1 9,168.58,94.58
ML10 6,109.77,55.32
ML11 0,114.33,59.95
ML11 7,160.12,93.22
ML11 8,135.11,75.67
ML11 9,147.24,84.71
ML12 6,101.19,49.4
ML12 9,182.49,102.89
ML2 0,169.0,96.95
ML2 2,161.0,91.53
ML2 7,147.7,83.05
ML2 8,141.73,80.36
ML2 9,137.22,79.03
ML3 0,192.98,106.63
ML3 3,190.43,105.44
ML3 6,195.03,107.64
ML3 7,159.4,90.6
ML3 8,138.99,77.28
ML3 9,174.12,97.99
ML4 1,163.74,93.54
ML4 2,172.78,97.57
ML4 3,170.34,96.77
ML4 9,160.59,91.21
ML5 1,160.65,92.01
ML5 2,152.3,87.35
ML5 3,158.3,91.93
ML5 4,159.22,92.49
ML5 5,169.94,97.64
ML5 9,162.88,94.59
ML6 0,140.63,80.09
ML6 1,140.4,81.44
ML6 6,134.09,76.69
ML6 7,118.8,64.77
ML6 8,126.23,71.74
ML6 9,147.1,85.5
ML7 4,106.75,55.93
ML7 5,117.88,64.47
ML7 9,114.55,62.36
ML8 4,131.0,74.51
ML8 5,169.96,98.01
ML9 1,178.96,103.05
ML9 2,179.6,102.83
ML9 3,162.24,93.03
ML9 9,174.71,100.69
N1 0,351.37,136.45
N1 1,349.04,136.94
N1 2,359.98,138.82
N1 3,359.98,138.82
N1 4,362.49,139.53
N1 5,359.73,138.84
N1 6,359.77,138.85
N1 7,362.3,138.65
N1 8,345.83,135.55
N1 9,356.93,137.3
N10 1,315.88,131.69
N10 2,314.98,131.57
N10 3,296.35,128.52
N10 9,296.34,128.52
N11 1,321.18,132.6
N11 2,318.13,132.03
N11 3,322.06,132.66
N12 0,316.67,131.76
N12 2,310.33,130.74
N12 7,328.98,133.2
N12 8,330.76,133.49
N12 9,310.33,130.74
N13 4,331.13,133.89
N13 5,339.18,135.3
N13 6,339.21,135.3
N14 4,320.67,132.23
N14 5,319.21,132.66
N14 6,327.58,134.44
N14 7,311.32,131.28
N14 9,319.22,132.66
N15 3,352.4,137.72
N15 4,362.21,139.23
N15 5,365.64,139.71
N15 6,369.77,140.2
N16 0,355.4,138.57
N16 1,350.83,137.7
N16 5,350.83,137.7
N16 6,350.83,137.7
N16 7,355.42,138.57
N16 8,358.59,139.13
N16 9,354.22,138.36
N17 0,368.65,140.04
N17 1,359.93,138.88
N17 6,356.15,138.31
N17 7,351.37,137.54
N17 8,361.04,139.0
N17 9,370.15,140.3
N18 1,355.39,138.18
N18 2,365.24,139.52
N18 3,368.23,139.89
N18 9,365.25,139.52
N19 3,311.97,131.09
N19 4,350.22,137.4
N19 5,340.15,135.54
N19 9,350.22,137.4
N1C 4,356.92,137.29
N2 0,315.95,131.64
N2 2,304.79,129.99
N2 8,319.11,132.03
N2 9,304.77,129.99
N20 0,301.53,129.29
N20 2,300.12,128.57
N20 8,319.98,131.8
N20 9,302.88,128.78
N21 1,335.97,135.62
N21 2,341.79,136.16
N21 3,329.1,134.38
N21 9,329.08,134.38
N22 5,348.43,137.01
N22 6,353.78,137.83
N22 7,323.67,132.69
N22 8,336.34,134.81
N22 9,338.32,135.12
N3 1,324.38,132.6
N3 2,314.96,131.27
N3 3,332.55,133.7
N3 9,314.95,131.27
N4 1,340.74,135.78
N4 2,348.79,137.47
N4 3,350.21,137.4
N4 4,340.74,135.78
N5 1,353.16,138.02
N5 2,354.23,138.36
N5 9,353.16,138.02
N6 4,306.5,130.36
N6 5,295.35,128.34
N6 6,319.23,132.19
N7 0,344.76,136.63
N7 6,350.25,137.4
N7 7,350.25,137.4
N7 8,355.03,138.2
N7 9,354.99,138.2
N8 0,347.09,136.57
N8 7,329.46,133.33
N8 8,313.72,131.21
N8 9,330.05,133.52
N9 0,360.45,138.57
N9 1,358.69,138.48
N9 7,356.46,138.09
N9 8,359.69,138.38
N9 9,352.96,137.8
NE1 1,236.1,121.31
NE1 2,227.04,117.67
NE1 3,236.11,121.31
NE1 4,212.75,112.21
NE1 5,236.1,121.3
NE1 6,227.04,117.67
NE1 7,227.02,117.67
NE1 8,227.02,117.67
NE10 0,235.94,120.41
NE10 8,216.0,113.9
NE10 9,213.84,113.07
NE11 0,218.48,115.51
NE11 9,245.44,124.14
NE12 2,220.15,115.2
NE12 5,217.6,115.12
NE12 6,204.57,109.94
NE12 7,220.14,115.41
NE12 8,219.48,114.57
NE12 9,209.56,111.73
NE13 6,224.71,116.93
NE13 7,226.35,117.92
NE13 8,222.14,116.58
NE13 9,222.21,116.29
NE15 0,213.32,112.54
NE15 6,203.03,108.38
NE15 7,235.46,120.81
NE15 8,251.5,125.94
NE15 9,228.65,118.94
NE16 3,246.84,124.15
NE16 4,200.5,108.43
NE16 5,178.85,98.17
NE16 6,193.97,105.15
NE17 7,206.08,107.77
NE18 0,203.81,109.21
NE19 1,140.2,74.66
NE19 2,169.07,92.66
NE2 1,217.85,113.98
NE2 2,213.24,112.07
NE2 3,214.82,112.63
NE2 4,208.43,110.65
NE20 0,209.06,112.31
NE20 2,239.51,122.1
NE20 9,229.37,118.94
NE21 4,256.55,127.07
NE21 5,237.78,121.3
NE21 6,211.5,112.56
NE22 5,205.24,110.83
NE22 6,214.86,114.45
NE22 7,200.5,110.71
NE23 0,205.22,110.08
NE23 1,210.03,112.04
NE23 2,200.38,108.58
NE23 3,211.33,112.37
NE23 6,203.88,110.32
NE23 7,215.17,114.72
NE23 8,210.48,111.73
NE24 1,184.77,105.61
NE24 2,185.13,104.45
NE24 3,189.43,106.2
NE24 4,198.66,108.53
NE24 5,188.78,106.32
NE24 9,184.32,104.53
NE25 0,198.56,109.33
NE25 8,170.36,97.7
NE25 9,179.19,100.4
NE26 1,174.84,100.99
NE26 2,174.86,101.01
NE26 3,174.05,99.04
NE26 4,184.32,104.49
NE27 0,194.48,106.64
NE27 9,185.77,102.51
NE28 0,213.75,112.57
NE28 6,227.37,117.26
NE28 7,217.29,113.88
NE28 8,225.89,117.17
NE28 9,209.67,111.5
NE29 0,185.98,103.04
NE29 1,182.15,101.01
NE29 6,209.88,111.83
NE29 7,189.31,103.5
NE29 8,176.95,99.15
NE29 9,171.38,97.58
NE3 1,210.38,110.92
NE3 2,223.0,116.21
NE3 3,207.63,110.07
NE3 4,202.54,108.04
NE3 5,224.7,116.69
NE3 9,215.19,113.03
NE30 1,200.17,109.84
NE30 2,168.02,96.59
NE30 3,165.72,95.8
NE30 4,161.58,94.36
NE31 1,230.08,118.14
NE31 2,225.8,116.73
NE32 3,225.88,116.71
NE32 4,223.31,116.36
NE32 5,227.13,117.15
NE33 1,222.83,116.93
NE33 2,211.96,113.76
NE33 3,207.88,112.85
NE33 4,207.21,111.72
NE33 5,215.6,113.95
NE33 9,220.13,116.9
NE34 0,208.26,111.49
NE34 6,192.98,106.93
NE34 7,179.07,101.91
NE34 8,189.02,105.29
NE34 9,216.44,114.06
NE35 9,212.12,112.93
NE36 0,208.48,111.94
NE37 1,201.76,108.3
NE37 2,210.53,111.29
NE37 3,224.14,116.06
NE37 9,203.76,108.35
NE38 0,199.6,107.42
NE38 7,209.98,110.65
NE38 8,219.41,113.74
NE38 9,218.71,114.23
NE39 1,232.59,118.73
NE39 2,196.98,106.21
NE4 5,198.05,106.8
NE4 6,198.06,106.8
NE4 7,223.85,117.32
NE4 8,224.24,117.47
NE4 9,193.63,104.39
NE40 3,244.12,123.53
NE40 4,197.59,106.74
NE40 9,223.16,117.0
NE41 8,250.01,124.08
NE42 5,200.71,107.08
NE42 6,235.11,118.36
NE42 9,237.09,119.62
NE43 7,222.45,114.68
NE44 6,238.06,120.28
NE45 5,230.43,119.17
NE46 1,223.58,116.61
NE46 2,193.25,105.62
NE46 3,245.31,121.95
NE46 4,202.81,108.95
NE46 9,282.05,129.77
NE47 0,160.2,90.99
NE47 5,189.18,104.29
NE47 6,181.66,101.22
NE47 7,167.57,94.77
NE47 8,125.77,67.93
NE47 9,132.62,74.47
NE48 1,123.34,61.37
NE48 2,156.35,85.56
NE48 3,160.12,87.91
NE48 4,190.39,102.66
NE49 0,147.91,81.4
NE49 9,136.92,73.51
NE5 1,215.05,113.53
NE5 2,213.99,112.53
NE5 3,202.51,107.95
NE5 4,212.5,111.57
NE5 5,206.44,109.11
NE5 9,223.57,116.68
NE6 1,245.79,123.93
NE6 2,225.57,117.16
NE6 3,241.22,122.2
NE6 4,233.88,119.86
NE6 5,227.81,117.58
NE6 9,216.98,114.17
NE61 1,220.59,115.87
NE61 2,210.84,111.87
NE61 3,194.88,105.25
NE61 4,173.65,95.21
NE61 5,180.51,100.71
NE61 6,211.55,113.07
NE61 9,214.83,113.97
NE62 5,213.98,115.02
NE63 0,192.17,107.8
NE63 3,178.99,102.27
NE63 8,195.5,107.71
NE63 9,180.42,102.19
NE64 6,173.77,100.6
NE65 0,202.32,110.14
NE65 7,146.61,78.67
NE65 8,196.06,105.48
NE65 9,219.05,113.86
NE66 1,202.78,107.4
NE66 2,197.05,105.76
NE66 3,197.61,107.93
NE66 4,166.26,89.48
NE66 5,210.53,110.29
NE66 9,208.01,109.73
NE67 5,195.16,104.21
NE68 7,197.35,108.24
NE69 7,193.34,105.5
NE7 7,215.36,112.89
NE70 7,216.66,113.13
NE71 6,162.86,85.87
NE8 1,214.25,114.07
NE8 2,243.88,123.77
NE8 3,238.38,121.76
NE8 4,228.45,119.25
NE8 9,214.25,114.07
NE9 5,201.91,109.57
NE9 6,229.5,118.87
NE9 7,191.82,104.98
NE9 9,234.16,120.53
NG1 1,291.6,127.73
NG1 2,291.6,127.73
NG1 3,278.13,125.09
NG1 4,266.5,122.99
NG1 5,266.52,122.99
NG1 6,281.49,126.15
NG1 7,291.62,127.73
NG1 9,278.15,125.09
NG10 1,298.84,129.34
NG10 2,299.21,128.99
NG10 3,299.3,129.35
NG10 4,298.26,129.65
NG10 5,278.73,125.82
NG10 9,300.14,129.76
NG11 0,296.36,127.83
NG11 1,316.89,132.42
NG11 2,308.26,131.14
NG11 6,303.06,130.24
NG11 7,304.71,130.28
NG11 8,317.86,132.77
NG11 9,315.24,132.55
NG12 1,294.07,127.86
NG12 2,295.83,128.29
NG12 3,293.26,128.16
NG12 4,299.62,128.93
NG12 5,289.51,126.92
NG13 0,313.42,131.39
NG13 7,305.51,129.8
NG13 8,299.22,128.93
NG13 9,319.42,132.65
NG14 5,290.39,126.69
NG14 6,276.63,124.36
NG14 7,300.18,128.82
NG15 0,230.31,113.87
NG15 5,248.25,118.81
NG15 6,254.14,120.29
NG15 7,271.66,124.36
NG15 8,256.62,120.8
NG15 9,240.35,116.08
NG16 1,257.99,120.99
NG16 2,263.03,121.73
NG16 3,268.35,123.42
NG16 4,274.74,124.28
NG16 5,259.03,121.24
NG16 6,247.98,118.54
NG16 9,285.56,127.16
NG17 0,220.65,108.89
NG17 1,218.67,109.0
NG17 2,222.51,110.19
NG17 3,219.02,108.75
NG17 4,239.19,114.76
NG17 5,226.15,110.74
NG17 6,237.25,115.48
NG17 7,224.54,111.0
NG17 8,230.38,113.34
NG17 9,235.31,115.3
NG18 1,238.8,114.58
NG18 2,244.28,115.86
NG18 3,243.55,116.21
NG18 4,237.27,113.86
NG18 5,234.28,112.92
NG18 6,244.91,115.42
NG18 9,254.33,118.49
NG19 0,255.62,119.02
NG19 6,222.82,109.88
NG19 7,230.36,112.6
NG19 8,247.08,117.49
NG19 9,262.86,120.86
NG2 1,292.62,128.12
NG2 2,291.07,127.41
NG2 3,288.26,126.43
NG2 4,289.6,126.71
NG2 5,293.1,127.31
NG2 6,294.94,127.75
NG2 7,294.37,128.0
NG2 9,291.05,127.41
NG20 0,299.41,127.35
NG20 8,265.7,121.12
NG20 9,294.59,126.96
NG21 0,256.58,119.86
NG21 9,284.69,124.35
NG22 0,298.91,128.11
NG22 8,281.97,124.72
NG22 9,304.03,128.2
NG23 5,313.3,130.32
NG23 6,308.76,129.19
NG23 7,315.98,130.88
NG24 0,315.04,129.52
NG24 1,314.67,129.77
NG24 2,320.36,131.07
NG24 3,314.16,129.6
NG24 4,311.47,129.17
NG24 5,322.04,130.5
NG24 9,315.18,129.63
NG25 0,288.24,126.24
NG3 1,278.12,125.09
NG3 2,277.79,124.66
NG3 3,268.63,122.88
NG3 4,247.53,118.24
NG3 5,248.26,118.37
NG3 6,247.61,117.93
NG3 7,279.36,124.92
NG31 0,311.52,129.55
NG31 6,311.53,129.55
NG31 7,294.44,126.22
NG31 8,298.35,127.56
NG31 9,284.18,124.3
NG32 1,282.07,123.96
NG32 2,307.55,129.4
NG32 3,298.95,127.51
NG33 4,307.8,128.76
NG33 5,279.73,122.51
NG34 0,323.51,132.89
NG34 4,330.76,134.09
NG34 6,332.98,134.58
NG34 7,330.11,133.82
NG34 8,316.97,131.15
NG34 9,320.94,132.88
NG4 1,267.99,122.27
NG4 2,298.21,128.2
NG4 3,269.61,123.07
NG4 4,266.74,122.33
NG4 9,267.72,122.76
NG5 0,261.39,121.3
NG5 1,263.26,122.49
NG5 2,252.06,119.52
NG5 3,256.87,120.82
NG5 4,239.52,115.8
NG5 5,255.38,120.9
NG5 6,262.85,121.88
NG5 7,266.15,122.32
NG5 8,256.63,121.25
NG5 9,257.27,121.4
NG6 0,276.51,125.51
NG6 6,276.3,125.54
NG6 7,272.19,124.51
NG6 8,269.57,124.06
NG6 9,277.25,125.7
NG7 1,281.5,126.15
NG7 2,292.06,128.39
NG7 3,272.55,124.55
NG7 4,266.51,122.99
NG7 5,271.41,124.28
NG7 6,265.54,122.73
NG7 7,276.0,125.24
NG8 1,282.41,126.65
NG8 2,281.68,126.57
NG8 3,271.03,124.53
NG8 4,262.29,122.38
NG8 5,267.86,123.86
NG8 6,254.44,120.52
NG8 9,275.66,125.41
NG9 1,301.56,130.45
NG9 2,292.76,128.74
NG9 3,275.54,125.07
NG9 4,294.7,129.53
NG9 5,295.08,129.15
NG9 6,296.13,129.07
NG9 7,287.64,127.57
NG9 8,291.01,127.99
NG9 9,294.99,129.28
NG90 1,292.13,128.34
NG90 2,292.56,128.71
NG90 4,306.83,131.15
NG90 5,306.86,131.15
NG90 6,292.56,128.71
NG90 7,301.76,131.02
NN1 1,329.16,132.3
NN1 2,329.15,132.3
NN1 3,327.77,132.58
NN1 4,322.06,131.23
NN1 5,329.91,132.44
NN1 9,329.15,132.3
NN10 0,326.5,131.48
NN10 1,345.1,133.76
NN10 6,339.57,132.19
NN10 8,346.45,134.82
NN10 9,331.26,131.64
NN11 0,307.97,129.41
NN11 1,296.36,126.75
NN11 2,307.74,129.68
NN11 3,299.22,126.19
NN11 4,297.73,127.09
NN11 6,296.06,126.33
NN11 7,312.94,130.55
NN11 8,305.37,128.99
NN11 9,296.27,127.06
NN12 6,326.85,130.26
NN12 7,327.01,129.86
NN12 8,303.24,125.84
NN12 9,339.35,133.98
NN13 5,299.56,125.35
NN13 6,292.11,124.26
NN13 7,324.71,129.27
NN13 9,302.0,124.67
NN14 1,311.7,129.88
NN14 2,291.66,125.28
NN14 3,334.44,133.27
NN14 4,344.96,135.61
NN14 6,294.82,126.14
NN15 4,329.99,132.8
NN15 5,331.58,133.23
NN15 6,331.69,133.3
NN15 7,334.54,133.59
