district,cwd_yr_clim_mm,smd_jja_clim_mm
B90 2,247.94,114.12
B90 3,244.96,112.94
B90 4,252.78,115.1
B90 8,258.24,116.48
B90 9,248.46,114.26
B91 1,241.27,111.24
B91 2,249.32,114.02
B91 3,250.7,114.78
B91 9,238.6,110.08
B92 0,275.87,122.65
B92 7,262.46,118.66
B92 8,266.31,119.9
B92 9,263.53,118.74
B93 0,273.63,121.11
B93 3,263.96,118.54
B93 8,263.93,117.67
B93 9,258.5,116.93
B94 5,261.51,116.75
B94 6,263.11,117.16
B95 5,276.24,121.15
B95 6,298.87,126.56
B95 8,293.07,125.06
B96 6,301.11,128.69
B97 4,252.14,115.11
B97 5,267.93,119.66
B97 6,268.31,118.97
B97 9,264.29,118.6
B98 0,282.56,123.19
B98 7,266.82,119.27
B98 8,279.8,122.63
B98 9,262.32,117.55
BA1 0,308.12,131.58
BA1 1,304.93,131.02
BA1 2,277.51,125.39
BA1 3,278.73,125.52
BA1 4,236.03,114.43
BA1 5,214.15,106.88
BA1 6,242.19,115.56
BA1 7,254.13,118.62
BA1 8,225.11,110.41
BA1 9,214.01,107.05
BA10 0,235.67,110.48
BA11 1,267.1,119.84
BA11 2,270.88,121.07
BA11 3,239.44,112.88
BA11 4,219.22,106.73
BA11 5,259.49,118.1
BA11 6,294.61,126.97
BA11 9,257.48,117.38
BA12 0,283.05,123.04
BA12 2,277.17,123.65
BA12 6,230.13,109.3
BA12 7,237.43,112.05
BA12 8,256.08,117.92
BA12 9,277.28,123.55
BA13 2,320.16,132.74
BA13 3,288.66,126.48
BA13 4,294.03,126.73
BA13 9,330.87,134.33
BA14 0,329.78,133.91
BA14 4,324.57,133.11
BA14 6,324.0,132.33
BA14 7,329.71,133.72
BA14 8,328.49,133.81
BA14 9,318.4,131.9
BA15 1,291.48,126.37
BA15 2,265.63,121.38
BA15 5,298.94,127.55
BA16 0,290.56,125.57
BA16 9,306.45,129.88
BA2 0,236.55,112.8
BA2 1,267.45,122.82
BA2 2,241.5,115.91
BA2 3,299.58,129.89
BA2 4,308.14,131.58
BA2 5,216.54,107.51
BA2 6,259.84,121.22
BA2 7,265.48,121.27
BA2 8,256.44,119.29
BA2 9,257.12,119.57
BA20 1,313.13,130.56
BA20 2,298.27,127.32
BA20 9,313.13,130.56
BA21 3,287.8,124.84
BA21 4,286.52,125.1
BA21 5,301.93,127.67
BA22 7,293.49,125.84
BA22 8,306.56,128.55
BA22 9,284.37,123.72
BA3 2,227.0,108.33
BA3 3,241.78,113.81
BA3 4,182.43,93.75
BA3 5,207.86,103.26
BA3 9,244.36,114.09
BA4 4,203.07,101.39
BA4 5,194.89,98.19
BA4 6,240.32,113.0
BA4 9,200.52,100.06
BA5 1,239.81,113.85
BA5 2,241.81,115.2
BA5 3,165.92,87.09
BA5 9,253.92,118.86
BA6 0,243.44,113.94
BA6 8,281.09,123.48
BA6 9,287.83,126.67
BA7 7,268.14,120.43
BA8 0,284.25,123.99
BA9 0,255.94,115.63
BA9 8,246.13,113.77
BA9 9,268.16,119.65
BB1 1,141.16,75.67
BB1 2,109.74,51.97
BB1 3,144.39,78.7
BB1 4,140.62,75.49
BB1 5,138.66,74.24
BB1 6,144.89,78.09
BB1 7,144.89,78.09
BB1 8,121.72,60.63
BB1 9,135.82,70.01
BB10 1,154.41,84.18
BB10 2,145.93,79.14
BB10 3,120.34,60.71
BB10 4,128.73,67.3
BB11 1,158.5,87.23
BB11 2,136.43,73.14
BB11 3,126.64,65.33
