name,fires_yr
EH1,11.4695
EH10,30.2481
EH11,33.0098
EH12,41.1573
EH13,13.1829
EH14,35.4925
EH15,21.9949
EH16,31.1617
EH17,20.3916
EH18,2.1449
EH19,8.3997
EH2,7.1335
EH20,4.7223
EH21,15.6923
EH22,22.1808
EH23,6.0486
EH24,1.5272
EH25,2.8133
EH26,11.0326
EH27,2.4757
EH28,4.7193
EH29,4.3354
EH3,26.5407
EH30,8.5295
EH31,2.0183
EH32,11.0294
EH33,7.9102
EH34,1.7941
EH35,1.4883
EH36,0.2243
EH37,1.8896
EH38,0.2218
EH39,8.5014
EH4,57.9769
EH40,1.3863
EH41,9.378
EH42,7.1762
EH43,0.5443
EH44,2.1772
EH45,7.1768
EH46,2.2836
EH47,25.1406
EH48,31.6499
EH49,14.2575
EH5,22.0648
EH51,11.71
EH52,18.9639
EH53,9.9112
EH54,32.61
EH55,9.581
EH6,35.0029
EH7,27.1002
EH8,19.617
EH9,17.8686
EH91,0.6994
EH95,0.2098
EH99,0.0699
EN1,21.1708
EN10,8.8461
EN11,7.8086
EN2,12.4584
EN3,36.4061
EN4,10.1851
EN5,17.244
EN6,8.8596
EN7,6.7522
EN8,19.2508
EN9,10.739
EX1,16.956
EX10,5.9137
EX11,3.2638
EX12,3.6341
EX13,4.2869
EX14,7.4006
EX15,6.6677
EX16,12.3346
EX17,8.8695
EX18,1.6737
EX19,1.1015
EX2,17.1598
EX20,7.8448
EX21,1.3881
EX22,5.4835
EX23,6.6647
EX24,1.9603
EX3,2.6977
EX31,8.9101
EX32,11.7298
EX33,3.3408
EX34,10.0132
EX35,0.2703
EX36,3.065
EX37,1.2644
EX38,2.4595
EX39,19.8146
EX4,29.3662
EX5,9.0261
EX6,3.8274
EX7,7.4412
EX8,18.4344
EX9,2.3918
FK1,25.6576
FK10,29.0183
FK11,2.528
FK12,5.0897
FK13,6.2357
FK14,5.2648
FK15,7.9869
FK16,1.6828
FK17,3.0017
FK18,0.1819
FK19,0.6367
FK2,34.296
FK20,0.5241
FK21,1.2208
FK3,13.0362
FK4,9.536
FK5,12.9742
FK6,9.852
FK7,19.1119
FK8,14.531
FK9,9.4027
FY1,61.2967
FY2,16.1658
FY3,27.057
FY4,30.6492
FY5,20.6262
FY6,15.6988
FY7,27.2812
FY8,22.3542
G1,20.3534
G11,26.7239
G12,35.5779
G13,46.8583
G14,22.6194
G15,21.865
G2,28.6675
G20,39.789
G21,33.4724
G22,22.135
G23,7.9362
G3,24.9423
G31,34.5522
G32,53.2859
G33,56.2464
G34,11.2295
G4,18.5178
G40,22.4049
G41,44.054
G42,34.4442
G43,22.7828
G44,29.9503
G45,16.5203
G46,22.7583
G5,18.8957
G51,36.0781
G52,40.2021
G53,39.9959
G58,0.7018
G60,7.2409
G61,16.5039
G62,9.2679
G63,9.0824
G64,16.0429
G65,14.0036
G66,26.3232
G67,23.3867
G68,12.178
G69,43.786
G70,0.372
G71,31.9328
G72,37.7948
G73,27.138
G74,27.9264
G75,25.2497
G76,17.0654
G77,17.1662
G78,17.4215
G79,0.0595
G81,51.5669
G82,39.5762
G83,30.8216
G84,20.7437
G9,0.108
G90,1.8356
GL1,33.5319
GL10,6.5762
GL11,8.8012
GL12,4.8357
GL13,1.9872
GL14,6.1465
GL15,7.426
GL16,5.5094
GL17,4.8638
GL18,2.7875
GL19,4.2768
GL2,20.3092
GL20,10.8298
GL3,13.9371
GL4,20.1487
GL5,19.3032
GL50,16.0964
GL51,28.9643
GL52,20.1681
GL53,9.0331
GL54,7.2188
GL55,2.0909
GL56,5.5147
GL6,13.0511
GL7,19.2417
GL8,2.643
GL9,0.6979
GU1,17.7042
GU10,6.8252
GU11,11.6765
GU12,9.6416
GU14,17.1654
GU15,15.337
GU16,7.9944
GU17,2.8088
GU18,2.3049
GU19,2.5281
GU2,13.0038
GU20,0.9519
GU21,19.8592
GU22,15.5645
GU23,2.1239
GU24,5.2155
GU25,2.4111
GU26,1.0073
GU27,5.6772
GU28,1.8318
GU29,7.5959
GU3,3.3245
GU30,2.1494
GU31,3.5467
GU32,5.4257
GU33,2.562
GU34,8.8091
GU35,4.9411
GU4,7.6453
GU46,3.7231
GU47,3.7463
GU5,3.8973
GU51,4.9149
GU52,4.0329
GU6,4.9857
GU7,8.0322
GU8,6.1856
GU9,10.4499
HA0,22.3776
HA1,19.8937
HA2,24.2281
HA3,27.0715
HA4,17.8741
HA5,17.2812
HA6,9.5185
HA7,15.1839
HA8,31.8577
HA9,29.2396
HD1,16.2578
HD2,15.8371
HD3,10.4081
HD4,14.2772
HD5,12.8903
HD6,8.844
HD7,8.111
HD8,6.3979
HD9,9.1055
HG1,20.0389
HG2,13.9117
HG3,9.243
HG4,8.9051
HG5,5.8668
HP1,13.4572
HP10,6.9065
HP11,6.1398
HP12,9.9874
HP13,16.8533
HP14,4.8614
HP15,3.424
HP16,2.4392
HP17,4.1122
HP18,7.0069
HP19,10.5957
HP2,20.2519
HP20,9.5564
HP21,13.2874
HP22,8.7574
HP23,5.493
HP27,5.7429
HP3,10.5067
HP4,5.9972
HP5,7.432
HP6,4.9724
HP7,3.0797
HP8,1.4393
HP9,4.9397
HR1,13.8847
HR2,20.1255
HR3,4.842
HR4,12.9412
HR5,2.8748
HR6,11.3653
HR7,2.8928
HR8,4.622
HR9,8.1548
HS1,5.5474
HS2,7.5494
HS3,1.585
HS4,0.1877
HS5,0.2711
HS6,1.6475
HS7,0.9385
HS8,1.585
HS9,1.0219
HU1,4.4018
HU10,4.9242
HU11,2.9312
HU12,8.3438
HU13,3.9943
HU14,2.3211
HU15,6.2251
HU16,4.2009
HU17,11.9981
HU18,3.7441
HU19,5.7035
HU2,8.382
HU20,0.2535
HU3,36.7077
HU4,14.3935
HU5,26.6023
HU6,17.3427
HU7,22.5801
HU8,15.6927
HU9,25.7426
HX1,19.8077
HX2,18.539
HX3,23.0842
HX4,4.6303
HX5,5.2693
HX6,8.0685
HX7,5.4576
IG1,36.5175
IG10,13.3529
IG11,35.5994
IG2,9.76
IG3,16.854
IG4,2.952
IG5,7.2075
IG6,10.73
IG7,9.2461
IG8,18.7362
IG9,4.1302
IP1,27.5972
IP10,1.5868
IP11,13.0
IP12,8.9329
IP13,5.9352
IP14,13.3552
IP15,0.5909
IP16,4.0849
IP17,5.5769
IP18,1.8139
IP19,3.8754
IP2,20.7065
IP20,2.3053
IP21,3.6326
IP22,8.9998
IP23,2.3118
IP24,14.7715
IP25,7.7081
IP26,4.8395
IP27,5.5405
IP28,9.1617
IP29,2.1579
IP3,15.178
IP30,4.488
IP31,5.1058
IP32,7.9194
IP33,12.2415
IP4,15.0156
IP5,3.7368
IP6,5.2139
IP7,4.6531
IP8,2.8683
IP9,3.8526
IP98,0.0973
IV1,5.3827
IV10,1.5723
IV11,0.8139
IV12,8.0094
IV13,0.3515
IV14,1.3873
IV15,3.9769
IV16,1.0359
IV17,3.348
IV18,3.644
IV19,3.644
IV2,22.9368
IV20,2.1827
IV21,0.9064
IV22,1.4243
IV23,0.9434
IV24,0.8324
IV25,2.6266
IV26,1.3503
IV27,3.496
IV28,0.4069
IV3,8.6013
IV30,19.1256
IV31,4.636
IV32,3.0319
IV36,8.3553
IV4,2.3677
IV40,2.2937
IV41,0.2405
IV42,0.1295
IV43,0.185
IV44,0.185
IV45,0.222
IV46,0.0555
IV47,0.3515
IV48,0.037
IV49,0.8139
IV5,0.7769
IV51,4.3284
IV52,0.3515
IV53,0.2035
IV54,1.1098
IV55,1.0359
IV56,0.259
IV6,2.3492
IV63,1.2208
IV7,2.8486
IV8,0.5919
IV9,0.8509
IV99,0.0925
KA1,25.1205
KA10,11.4801
KA11,19.4993
KA12,21.6878
KA13,16.7944
KA14,1.2909
KA15,8.7415
KA16,2.747
KA17,3.4338
KA18,18.101
KA19,8.345
KA2,5.7992
KA20,9.8111
KA21,13.6102
KA22,11.8029
KA23,6.8235
KA24,8.4464
KA25,8.1882
KA26,10.5585
KA27,7.5612
KA28,2.6925
KA29,2.3975
KA3,29.1025
KA30,13.4995
KA4,4.1696
KA5,10.35
KA6,13.3221
KA7,24.2767
KA8,14.0868
KA9,11.6907
KT1,12.1445
KT10,9.5516
KT11,6.5578
KT12,14.0012
KT13,8.5064
KT14,5.479
KT15,13.5892
KT16,10.1879
KT17,12.6898
KT18,7.995
KT19,18.5364
KT2,13.7921
KT20,7.487
KT21,6.5087
KT22,11.5372
KT23,3.9653
KT24,4.4789
KT3,17.2904
KT4,9.9622
KT5,9.3407
KT6,14.2062
KT7,3.1782
KT8,7.7547
KT9,7.6103
KW1,6.5851
KW10,1.1653
KW11,0.111
KW12,0.8879
KW13,0.0555
KW14,8.4903
KW15,4.6286
KW16,1.7754
KW17,2.9293
KW2,0.037
KW3,0.6844
KW5,0.222
KW6,0.333
KW7,0.0925
KW8,0.7029
KW9,1.3318
KY1,19.5526
KY10,9.3418
KY11,33.3602
KY12,27.1564
KY13,7.7488
KY14,6.5501
KY15,18.1526
KY16,16.9939
KY2,15.3524
KY3,8.4245
KY4,12.3036
KY5,11.6251
KY6,11.1947
KY7,19.9389
KY8,23.8977
KY9,2.8967
KY99,0.3379
L1,10.2002
L10,10.0269
L11,22.6076
L12,13.9262
L13,23.5322
L14,19.8942
L15,19.5065
L16,3.3051
L17,18.9373
L18,10.1101
L19,13.4053
L2,2.2793
L20,39.5301
L21,21.0716
L22,7.6334
L23,15.4261
L24,14.7449
L25,23.1107
L26,6.9746
L27,5.4284
L28,6.1332
L29,0.3222
L3,12.8987
L30,15.2364
L31,13.3094
L32,18.8841
L33,15.6151
L34,6.9026
L35,15.3612
L36,27.6353
L37,8.6161
L38,0.5155
L39,10.5873
L4,42.5936
L40,6.7339
L5,17.4448
L6,34.6261
L67,0.0743
L68,0.0099
L69,1.9841
L7,21.4256
L70,0.2292
L71,0.3533
L72,0.3417
L74,0.5682
L75,0.4833
L8,36.5068
L80,0.0308
L9,22.0577
LA1,40.1317
LA10,1.5303
LA11,2.2333
LA12,6.9134
LA13,7.8827
LA14,29.3794
LA15,2.9223
LA16,0.5845
LA17,0.1186
LA18,4.8205
LA19,0.2407
LA2,9.5029
LA20,0.5002
LA21,0.231
LA22,1.9609
LA23,3.7054
LA3,18.5341
LA4,20.5673
LA5,5.897
LA6,4.9344
LA7,1.2797
LA8,3.0935
LA9,11.1599
LD1,6.8047
LD2,4.5847
LD3,14.076
LD4,0.933
LD5,1.1422
LD6,1.8661
LD7,2.914
LD8,2.948
LE1,20.2123
LE10,13.043
LE11,27.4201
LE12,17.6685
LE13,9.6556
LE14,6.7328
LE15,10.3111
LE16,11.6497
LE17,5.4165
LE18,9.6505
LE19,4.0166
LE2,54.6601
LE21,0.4255
LE3,54.3939
LE4,44.4551
LE41,0.0972
LE5,39.119
LE6,2.5829
LE65,4.5373
LE67,20.2951
LE7,13.2284
LE8,10.0124
LE87,0.4769
LE9,17.1762
LE94,0.0375
LE95,0.0127
LL11,19.9898
LL12,13.6985
LL13,16.1003
LL14,15.8165
LL15,7.0352
LL16,9.9639
LL17,3.4866
LL18,18.9516
LL19,9.2666
LL20,5.935
LL21,5.718
LL22,10.0724
LL23,3.0992
LL24,2.9907
LL25,0.7283
