name,d02_high,d02_low,d03_high,d03_low,d06_high,d06_low,d09_high,d09_low,d12_high,d12_low
SA47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE1,0.058702,0.221855,0.027274,0.140162,0.005986,0.034989,0.002555,0.011689,0.001806,0.005883
SE2,0.030588,0.117775,0.015474,0.064367,0.003944,0.020713,0.001836,0.009604,0.001024,0.004034
SE3,0.05654,0.136694,0.03179,0.084532,0.010621,0.029129,0.005685,0.015218,0.003774,0.008952
SE4,0.065744,0.174653,0.036758,0.116523,0.01045,0.043427,0.002678,0.019639,0.000525,0.009767
SE5,0.06346,0.17614,0.033531,0.106595,0.006251,0.024631,0.001366,0.006002,0.000621,0.002028
SE6,0.05915,0.161109,0.030279,0.086844,0.006462,0.027994,0.003277,0.013247,0.002608,0.005816
SE7,0.08259,0.171453,0.046103,0.124772,0.013538,0.059435,0.004086,0.03595,0.001321,0.026209
SE8,0.049846,0.203972,0.021664,0.136504,0.003862,0.045501,0.002112,0.017923,0.000302,0.007543
SE9,0.03887,0.093795,0.018544,0.053274,0.003802,0.011743,0.001749,0.004302,0.001043,0.002455
SE10,0.042321,0.163047,0.01963,0.114316,0.004721,0.046499,0.001402,0.013334,0.001002,0.006982
SE11,0.075006,0.322877,0.035238,0.210217,0.006242,0.053662,0.001309,0.014095,0.000503,0.005034
SE12,0.055367,0.142238,0.024985,0.076849,0.004871,0.012931,0.001752,0.005186,0.000876,0.001927
SE13,0.071364,0.199523,0.039975,0.132627,0.011577,0.043821,0.006488,0.023153,0.004468,0.013869
SE14,0.07836,0.244933,0.042833,0.178773,0.015149,0.076215,0.005497,0.038007,0.001877,0.019506
SE15,0.134582,0.334987,0.080027,0.24912,0.013118,0.090386,0.003316,0.027732,0.001115,0.00716
SE16,0.03002,0.190632,0.010869,0.11775,0.002103,0.039433,0.000841,0.01501,0.000485,0.002103
SE17,0.05842,0.28793,0.021575,0.176682,0.002841,0.054248,0.001154,0.014738,0.000266,0.005682
SE18,0.058212,0.13977,0.036725,0.097741,0.011658,0.037365,0.00541,0.019353,0.003261,0.011917
SE19,0.061186,0.109791,0.038451,0.066113,0.010079,0.024079,0.003845,0.010938,0.002352,0.005002
SE20,0.107129,0.228617,0.064998,0.148669,0.019027,0.053535,0.009868,0.025349,0.006677,0.017195
SE21,0.067022,0.155656,0.040806,0.10026,0.013498,0.037451,0.002848,0.014707,0.001053,0.005384
SE22,0.075922,0.159164,0.040409,0.099317,0.008853,0.023543,0.00277,0.006529,0.000692,0.001731
SE23,0.035276,0.140066,0.017718,0.088549,0.005068,0.022626,0.002195,0.005267,0.001476,0.002514
SE24,0.078506,0.217967,0.052218,0.168615,0.016618,0.08001,0.005802,0.033308,0.001934,0.014541
SE25,0.093184,0.181376,0.060017,0.121661,0.019212,0.053248,0.005521,0.020081,0.002118,0.011308
SE26,0.051049,0.137852,0.02905,0.088035,0.009632,0.02851,0.004777,0.012059,0.002774,0.005779
SE27,0.065579,0.131305,0.043523,0.106456,0.015513,0.061168,0.00772,0.038524,0.005367,0.02507
SE28,0.023617,0.102994,0.009983,0.058741,0.001571,0.020543,0.000739,0.004622,0.000231,0.001872
SG1,0.01746,0.072059,0.008853,0.040746,0.00261,0.014842,0.001154,0.008583,0.000573,0.005286
SG2,0.019717,0.045972,0.01154,0.029102,0.004145,0.009461,0.001573,0.004352,0.000551,0.002317
SG3,0.022151,0.043844,0.014171,0.030019,0.006382,0.015278,0.004035,0.008639,0.002537,0.006013
SG4,0.01088,0.026688,0.006484,0.017036,0.001842,0.006503,0.000844,0.002965,0.00045,0.001663
SG5,0.017147,0.04284,0.009987,0.026071,0.002962,0.010411,0.001207,0.004858,0.000743,0.002597
SG6,0.049702,0.11407,0.030551,0.075436,0.010653,0.037498,0.005546,0.022642,0.003888,0.013746
SG7,0.017054,0.038913,0.009415,0.023765,0.00283,0.008747,0.001089,0.004432,0.000524,0.002596
SG8,0.015901,0.03722,0.00952,0.019993,0.002639,0.005146,0.000789,0.001808,0.000281,0.000816
SG9,0.017398,0.035151,0.010719,0.020359,0.003424,0.005402,0.0013,0.002095,0.000493,0.000887
SG10,0.019374,0.037347,0.012512,0.021252,0.004283,0.006614,0.001631,0.002965,0.000857,0.001557
SG11,0.016691,0.032155,0.010597,0.019209,0.003525,0.006118,0.001508,0.002719,0.000726,0.001607
SG12,0.020785,0.043601,0.011919,0.026748,0.002951,0.008148,0.001046,0.003429,0.000463,0.001633
SG13,0.031403,0.05681,0.020145,0.037534,0.008301,0.01632,0.003706,0.008813,0.00206,0.005631
SG14,0.016169,0.039304,0.011058,0.025129,0.004773,0.010375,0.002726,0.005879,0.001827,0.00396
SG15,0.050876,0.129487,0.039949,0.101474,0.020549,0.069389,0.014389,0.051067,0.012423,0.036121
SG16,0.028547,0.074626,0.017152,0.043279,0.005161,0.013183,0.001645,0.005042,0.001025,0.001776
SG17,0.024429,0.05438,0.014844,0.032335,0.003904,0.008484,0.001158,0.002828,0.000403,0.001117
SG18,0.025639,0.064839,0.013958,0.036051,0.003456,0.008303,0.001054,0.002977,0.000227,0.001471
SG19,0.038932,0.085609,0.022992,0.050623,0.007534,0.014475,0.002936,0.005288,0.001385,0.002166
SK1,0.040372,0.10918,0.021722,0.071002,0.006846,0.030016,0.002194,0.011585,0.001009,0.005573
