name,country,share
DA2,England,1.0
DA3,England,1.0
DA4,England,1.0
DA5,England,1.0
DA6,England,1.0
DA7,England,1.0
DA8,England,1.0
DA9,England,1.0
DA10,England,1.0
DA11,England,1.0
DA12,England,1.0
DA13,England,1.0
DA14,England,1.0
DA15,England,1.0
DA16,England,1.0
DA17,England,1.0
DA18,England,1.0
DD1,Scotland,1.0
DD2,Scotland,1.0
DD3,Scotland,1.0
DD4,Scotland,1.0
DD5,Scotland,1.0
DD6,Scotland,1.0
DD7,Scotland,1.0
DD8,Scotland,1.0
DD9,Scotland,1.0
DD10,Scotland,1.0
DD11,Scotland,1.0
DE1,England,1.0
DE3,England,1.0
DE4,England,1.0
DE5,England,1.0
DE6,England,1.0
DE7,England,1.0
DE11,England,1.0
DE12,England,1.0
DE13,England,1.0
DE14,England,1.0
DE15,England,1.0
DE21,England,1.0
DE22,England,1.0
DE23,England,1.0
DE24,England,1.0
DE45,England,1.0
DE55,England,1.0
DE56,England,1.0
DE65,England,1.0
DE72,England,1.0
DE73,England,1.0
DE74,England,1.0
DE75,England,1.0
DG1,Scotland,1.0
DG2,Scotland,1.0
DG3,Scotland,1.0
DG4,Scotland,1.0
DG5,Scotland,1.0
DG6,Scotland,1.0
DG7,Scotland,1.0
DG8,Scotland,1.0
DG9,Scotland,1.0
DG10,Scotland,1.0
DG11,Scotland,1.0
DG12,Scotland,0.6182
DG13,Scotland,1.0
DG14,Scotland,0.9832
DG16,Scotland,0.7362
DH1,England,1.0
DH2,England,1.0
DH3,England,1.0
DH4,England,1.0
DH5,England,1.0
DH6,England,1.0
DH7,England,1.0
DH8,England,1.0
DH9,England,1.0
DL1,England,1.0
DL2,England,1.0
DL3,England,1.0
DL4,England,1.0
DL5,England,1.0
DL6,England,1.0
DL7,England,1.0
DL8,England,1.0
DL9,England,1.0
DL10,England,1.0
DL11,England,1.0
DL12,England,1.0
DL13,England,1.0
DL14,England,1.0
DL15,England,1.0
DL16,England,1.0
DL17,England,1.0
DN1,England,1.0
DN2,England,1.0
DN3,England,1.0
DN4,England,1.0
DN5,England,1.0
DN6,England,1.0
DN7,England,1.0
DN8,England,1.0
DN9,England,1.0
DN10,England,1.0
DN11,England,1.0
DN12,England,1.0
DN14,England,1.0
DN15,England,1.0
DN16,England,1.0
DN17,England,1.0
DN18,England,1.0
DN19,England,1.0
DN20,England,1.0
DN21,England,1.0
DN22,England,1.0
DN31,England,1.0
DN32,England,1.0
DN33,England,1.0
DN34,England,1.0
DN35,England,1.0
DN36,England,1.0
DN37,England,1.0
DN38,England,1.0
DN39,England,1.0
DN40,England,1.0
DN41,England,1.0
DT1,England,1.0
DT2,England,1.0
DT3,England,1.0
DT4,England,1.0
DT5,England,1.0
DT6,England,1.0
DT7,England,1.0
DT8,England,1.0
DT9,England,1.0
DT10,England,1.0
DT11,England,1.0
DY1,England,1.0
DY2,England,1.0
DY3,England,1.0
DY4,England,1.0
DY5,England,1.0
DY6,England,1.0
DY7,England,1.0
DY8,England,1.0
DY9,England,1.0
DY10,England,1.0
DY11,England,1.0
DY12,England,1.0
DY13,England,1.0
DY14,England,1.0
E1,England,1.0
E1W,England,1.0
E2,England,1.0
E3,England,1.0
E4,England,1.0
E5,England,1.0
E6,England,1.0
E7,England,1.0
E8,England,1.0
E9,England,1.0
E10,England,1.0
E11,England,1.0
E12,England,1.0
E13,England,1.0
E14,England,1.0
E15,England,1.0
E16,England,1.0
E17,England,1.0
E18,England,1.0
E20,England,1.0
EC1A,England,1.0
EC1M,England,1.0
EC1N,England,1.0
EC1R,England,1.0
EC1V,England,1.0
EC1Y,England,1.0
EC2A,England,1.0
EC2M,England,1.0
EC2N,England,1.0
EC2R,England,1.0
EC2V,England,1.0
EC2Y,England,1.0
EC3A,England,1.0
EC3M,England,1.0
EC3N,England,1.0
EC3R,England,1.0
EC3V,England,1.0
EC4A,England,1.0
EC4M,England,1.0
EC4N,England,1.0
EC4R,England,1.0
EC4V,England,1.0
EC4Y,England,1.0
EH1,Scotland,1.0
EH2,Scotland,1.0
EH3,Scotland,1.0
EH4,Scotland,1.0
EH5,Scotland,1.0
EH6,Scotland,1.0
EH7,Scotland,1.0
EH8,Scotland,1.0
EH9,Scotland,1.0
EH10,Scotland,1.0
EH11,Scotland,1.0
EH12,Scotland,1.0
EH13,Scotland,1.0
EH14,Scotland,1.0
EH15,Scotland,1.0
EH16,Scotland,1.0
EH17,Scotland,1.0
EH18,Scotland,1.0
EH19,Scotland,1.0
EH20,Scotland,1.0
EH21,Scotland,1.0
EH22,Scotland,1.0
EH23,Scotland,1.0
EH24,Scotland,1.0
EH25,Scotland,1.0
EH26,Scotland,1.0
EH27,Scotland,1.0
EH28,Scotland,1.0
EH29,Scotland,1.0
EH30,Scotland,1.0
EH31,Scotland,1.0
EH32,Scotland,1.0
EH33,Scotland,1.0
EH34,Scotland,1.0
EH35,Scotland,1.0
EH36,Scotland,1.0
EH37,Scotland,1.0
EH38,Scotland,1.0
EH39,Scotland,1.0
EH40,Scotland,1.0
EH41,Scotland,1.0
EH42,Scotland,1.0
EH43,Scotland,1.0
EH44,Scotland,1.0
EH45,Scotland,1.0
EH46,Scotland,1.0
EH47,Scotland,1.0
EH48,Scotland,1.0
EH49,Scotland,1.0
EH51,Scotland,1.0
EH52,Scotland,1.0
EH53,Scotland,1.0
EH54,Scotland,1.0
EH55,Scotland,1.0
EN1,England,1.0
EN2,England,1.0
EN3,England,1.0
EN4,England,1.0
EN5,England,1.0
EN6,England,1.0
EN7,England,1.0
EN8,England,1.0
EN9,England,1.0
EN10,England,1.0
EN11,England,1.0
EX1,England,1.0
EX2,England,1.0
EX3,England,1.0
EX4,England,1.0
EX5,England,1.0
EX6,England,1.0
EX7,England,1.0
EX8,England,1.0
EX9,England,1.0
EX10,England,1.0
EX11,England,1.0
EX12,England,1.0
EX13,England,1.0
EX14,England,1.0
EX15,England,1.0
EX16,England,1.0
EX17,England,1.0
EX18,England,1.0
EX19,England,1.0
EX20,England,1.0
EX21,England,1.0
EX22,England,1.0
EX23,England,1.0
EX24,England,1.0
EX31,England,1.0
EX32,England,1.0
EX33,England,1.0
EX34,England,1.0
EX35,England,1.0
EX36,England,1.0
EX37,England,1.0
EX38,England,1.0
EX39,England,1.0
FK1,Scotland,1.0
FK2,Scotland,1.0
FK3,Scotland,1.0
FK4,Scotland,1.0
FK5,Scotland,1.0
FK6,Scotland,1.0
FK7,Scotland,1.0
FK8,Scotland,1.0
FK9,Scotland,1.0
FK10,Scotland,1.0
FK11,Scotland,1.0
FK12,Scotland,1.0
FK13,Scotland,1.0
FK14,Scotland,1.0
FK15,Scotland,1.0
FK16,Scotland,1.0
FK17,Scotland,1.0
FK18,Scotland,1.0
FK19,Scotland,1.0
FK20,Scotland,1.0
FK21,Scotland,1.0
FY1,England,1.0
FY2,England,1.0
FY3,England,1.0
FY4,England,1.0
FY5,England,1.0
FY6,England,1.0
FY7,England,1.0
FY8,England,1.0
G1,Scotland,1.0
G2,Scotland,1.0
G3,Scotland,1.0
G4,Scotland,1.0
G5,Scotland,1.0
G11,Scotland,1.0
G12,Scotland,1.0
G13,Scotland,1.0
G14,Scotland,1.0
G15,Scotland,1.0
G20,Scotland,1.0
G21,Scotland,1.0
