name,sw_high,sw_low
BB12 8,0.064038,0.126445
BB12 9,0.062578,0.100506
BB18 5,0.030707,0.071887
BB18 6,0.064201,0.125373
BB18 9,0.048325,0.099551
BB2 1,0.112759,0.175996
BB2 2,0.129732,0.163608
BB2 3,0.040095,0.072857
BB2 4,0.083456,0.167674
BB2 5,0.053249,0.092693
BB2 6,0.024368,0.044722
BB2 7,0.042872,0.086854
BB2 9,0.626594,0.645538
BB3 0,0.057752,0.115300
BB3 1,0.102347,0.174137
BB3 2,0.061880,0.116413
BB3 3,0.040096,0.103434
BB3 9,0.063232,0.123955
BB4 0,0.034274,0.063762
BB4 4,0.065796,0.092669
BB4 5,0.041557,0.092226
BB4 6,0.030115,0.050789
BB4 7,0.032157,0.051361
BB4 8,0.028760,0.067137
BB4 9,0.011284,0.030568
BB5 0,0.047044,0.089781
BB5 1,0.068673,0.137410
BB5 2,0.037374,0.087498
BB5 3,0.069219,0.084978
BB5 4,0.008967,0.037683
BB5 5,0.030784,0.064732
BB5 6,0.035709,0.099796
BB5 9,0.023435,0.047131
BB6 7,0.048094,0.073720
BB6 8,0.070360,0.092173
BB7 0,0.036111,0.053513
BB7 1,0.102560,0.145020
BB7 2,0.097475,0.150225
BB7 3,0.073761,0.110420
BB7 4,0.065386,0.090537
BB7 9,0.072034,0.110586
BB8 0,0.014225,0.049350
BB8 7,0.060270,0.101545
BB8 8,0.037900,0.075765
BB8 9,0.026714,0.053392
BB9 0,0.029881,0.051037
BB9 4,0.027447,0.045776
BB9 5,0.056701,0.111823
BB9 6,0.063219,0.106866
BB9 7,0.031131,0.065048
BB9 8,0.106522,0.150331
BB9 9,0.046967,0.073633
BD1 1,0.275216,0.437027
BD1 2,0.139049,0.184835
BD1 3,0.063340,0.125918
BD1 4,0.168488,0.316457
BD1 5,0.130095,0.259249
BD1 9,0.692640,0.730042
BD10 0,0.019106,0.058336
BD10 8,0.004301,0.023989
BD10 9,0.016615,0.091882
BD11 1,0.018443,0.050167
BD11 2,0.007655,0.041058
BD12 0,0.056682,0.133367
BD12 7,0.036142,0.074140
BD12 8,0.020224,0.067394
BD12 9,0.064901,0.113137
BD13 1,0.026690,0.038365
BD13 2,0.009469,0.014808
BD13 3,0.005450,0.025425
BD13 4,0.066309,0.114826
BD13 5,0.023941,0.040447
