name,households,postcodes
GU34,14563,1684
GU35,9585,988
GU4,6883,654
GU46,3172,443
GU47,4041,618
GU5,4635,577
GU51,6626,1165
GU52,4101,531
GU6,6666,785
GU7,9871,1198
GU8,7309,862
GU9,12740,1508
GU95,106,13
HA0,16407,1623
HA1,15427,1775
HA2,20645,1663
HA3,24933,2149
HA4,20458,1819
HA5,17563,1896
HA6,9096,1101
HA7,13722,1475
HA8,23636,2374
HA9,18968,1934
HD1,10077,1889
HD2,11480,767
HD3,13929,796
HD4,12678,865
HD5,13320,864
HD6,11982,1084
HD7,17108,1849
HD8,14134,1227
HD9,8721,1471
HG1,16399,1786
HG2,13808,1033
HG3,12499,1447
HG4,11273,1278
HG5,8203,869
HP1,11936,1243
HP10,8436,850
HP11,6351,998
HP12,8174,845
HP13,17260,1170
HP14,7045,727
HP15,6893,650
HP16,5021,610
HP17,7256,898
HP18,8555,769
HP19,9785,1190
HP2,16439,1379
HP20,7181,970
HP21,14305,1097
HP22,12042,1343
HP23,7663,931
HP27,3621,634
HP3,13579,1011
HP4,10486,1169
HP5,10904,1089
HP6,5558,865
HP7,4841,537
HP8,2994,318
HP9,6878,848
HR1,15030,1553
HR2,16258,1482
HR3,3674,501
HR4,13682,1196
HR5,2350,286
HR6,9399,951
HR7,3350,339
HR8,6347,677
HR9,9603,1055
HS1,3629,330
HS2,4366,397
HS3,913,83
HS4,121,11
HS5,154,14
HS6,935,85
HS7,638,58
HS8,869,79
HS9,572,52
HU1,2370,783
HU10,9043,694
HU11,6260,541
HU12,11275,926
HU13,6446,572
HU14,3735,336
HU15,10262,788
HU16,7300,612
HU17,19256,1593
HU18,3774,317
HU19,3085,236
HU2,2450,377
HU20,291,41
HU3,13661,1452
HU4,10501,529
HU5,22388,1383
HU6,14149,822
HU7,19405,983
HU8,15191,1030
HU9,17651,1561
HX1,9263,1677
HX2,15956,1323
HX3,20896,1738
HX4,5498,520
HX5,4608,373
HX6,8493,941
HX7,6120,920
IG1,21006,2207
IG10,13253,1165
IG11,21390,1618
IG2,9707,657
IG3,11918,734
IG4,2858,227
IG5,5724,332
IG6,11555,774
IG7,8657,647
IG8,15618,1463
IG9,5501,419
IP1,18289,1820
IP10,2749,339
IP11,13024,1572
IP12,10612,1307
IP13,8882,1292
IP14,17993,1771
IP15,1194,191
IP16,3223,333
IP17,5822,829
IP18,1983,324
IP19,4812,659
IP2,13960,886
IP20,3875,382
IP21,5078,582
IP22,10292,1387
IP23,3375,388
IP24,12039,966
IP25,9189,685
IP26,4089,377
IP27,8456,610
IP28,12828,1002
IP29,4019,484
IP3,14730,912
IP30,6388,659
IP31,8916,898
IP32,7499,541
IP33,11802,1265
IP4,15560,1225
IP5,8609,879
IP6,7729,892
IP7,6957,846
IP8,4825,531
IP9,5068,554
IP98,55,19
IV1,10932,994
IV10,1034,94
IV11,539,49
IV12,5543,504
IV13,275,25
IV14,968,88
IV15,3157,287
IV16,704,64
IV17,2112,192
IV18,2618,238
IV19,2585,235
IV2,15882,1444
IV20,1430,130
IV21,627,57
IV22,946,86
IV23,649,59
IV24,539,49
IV25,1848,168
IV26,1056,96
IV27,2233,203
IV28,264,24
IV3,9789,890
IV30,21821,1984
IV31,3135,285
IV32,2068,188
IV33,385,35
IV34,154,14
IV35,154,14
IV36,10536,958
IV4,1782,162
IV40,1617,147
IV41,176,16
IV42,121,11
IV43,143,13
IV44,154,14
IV45,154,14
IV46,33,3
IV47,231,21
IV48,22,2
IV49,539,49
IV5,506,46
IV51,3322,302
IV52,220,20
IV53,132,12
IV54,704,64
IV55,671,61
IV56,165,15
IV6,1617,147
IV63,979,89
IV7,1947,177
IV8,374,34
IV9,627,57
IV99,55,5
KA1,15310,1392
KA10,6225,566
KA11,6753,614
KA12,8689,790
KA13,5895,536
KA14,451,41
KA15,3069,279
KA16,1573,143
KA17,1837,167
KA18,9239,840
KA19,3981,362
KA2,3014,274
KA20,3453,314
KA21,4784,435
KA22,4201,382
KA23,2519,229
KA24,2904,264
KA25,2750,250
KA26,5114,465
KA27,2684,244
KA28,924,84
KA29,825,75
KA3,15024,1366
KA30,5015,456
KA4,2090,190
KA5,5004,455
KA6,6489,590
KA7,14188,1290
KA8,7281,662
KA9,6434,585
KT1,9310,1464
KT10,8157,1012
KT11,6243,842
KT12,16366,1555
KT13,8935,1302
KT14,6136,632
KT15,12534,1079
KT16,8562,936
KT17,10117,1252
KT18,7692,714
KT19,14489,991
KT2,13192,1021
KT20,8381,1035
KT21,5430,559
KT22,10508,1476
KT23,4912,482
KT24,3649,548
KT3,14960,1305
KT4,11175,728
KT5,7816,509
KT6,14189,1162
KT7,4167,374
KT8,8654,1062
KT9,8656,643
KW1,4641,422
KW10,792,72
KW11,66,6
KW12,616,56
KW13,33,3
KW14,5653,514
KW15,4707,428
KW16,1716,156
KW17,2827,257
KW2,22,2
KW3,473,43
KW5,143,13
KW6,198,18
KW7,55,5
KW8,473,43
KW9,913,83
KY1,11493,1045
KY10,4696,427
KY11,22569,2052
KY12,16300,1482
KY13,9107,828
KY14,3278,298
KY15,9679,880
KY16,9591,872
KY2,8436,767
KY3,4619,420
KY4,6390,581
KY5,5950,541
KY6,5961,542
KY7,13891,1263
KY8,12351,1123
KY9,1551,141
KY99,275,25
L1,4842,805
L10,6376,355
L11,12340,712
L12,12504,795
L13,14087,848
L14,12127,612
L15,11333,714
L16,5564,326
L17,11069,752
L18,10350,841
L19,10090,713
L2,1540,787
L20,14933,1535
L21,11524,726
L22,5600,455
L23,13116,944
L24,8150,572
L25,15244,1182
L26,6402,435
L27,2724,226
L28,3066,155
L29,300,31
L3,5413,1076
L30,8588,611
L31,13009,958
L32,8742,657
L33,8403,816
L34,6171,642
L35,13245,871
L36,17829,1186
L37,9942,987
L38,1229,134
L39,11504,1088
L4,17696,928
L40,8831,767
L41,5215,1209
L42,7072,762
L43,8376,1051
L44,6322,907
L45,6962,924
L46,5278,627
L47,2200,416
L48,3456,576
L49,6263,714
L5,6636,757
L6,10583,662
L60,2874,529
L61,3706,460
L62,6407,896
L63,6088,885
L64,4115,712
L65,6136,850
L66,7490,945
L67,78,12
L68,99,10
L69,2875,1730
L7,7606,661
L70,587,219
L71,130,20
L72,495,60
L73,1,1
L74,357,27
L75,147,38
L8,14681,960
L80,21,4
L9,13356,889
LA1,22002,1945
LA10,1556,257
LA11,4684,535
LA12,9428,1124
LA13,8416,560
LA14,17749,1545
LA15,3410,281
LA16,1422,124
LA17,520,62
LA18,3607,344
LA19,500,81
LA2,9237,1131
LA20,554,96
LA21,444,105
LA22,2251,487
LA23,3814,643
LA3,11349,941
LA4,11678,967
LA5,7262,716
LA6,6040,781
LA7,2197,253
LA8,4254,592
LA9,14290,1289
LD1,5086,515
LD2,2831,319
LD3,8526,1039
LD4,396,64
LD5,502,80
LD6,1318,134
LD7,2095,242
LD8,2041,209
LE1,6735,1692
LE10,22979,1508
LE11,24379,2126
LE12,28638,1753
LE13,11971,867
LE14,7873,808
LE15,14578,1413
LE16,16040,1328
LE17,9692,1006
LE18,7885,989
LE19,4348,651
LE2,43467,2796
LE21,160,237
LE3,42234,2610
LE4,38035,2491
LE41,268,188
LE5,31202,2035
LE55,177,28
LE6,17897,1678
LE65,4610,657
LE67,17679,1869
LE7,21877,1891
LE8,23932,2295
LE87,152,82
LE9,28191,2262
LE94,51,21
LE95,3,3
LL11,17020,1811
LL12,12222,994
LL13,14468,1239
LL14,14328,1143
LL15,4890,550
LL16,6567,760
LL17,2491,251
LL18,18224,1630
LL19,9105,734
LL20,3539,470
LL21,2801,420
LL22,8664,746
LL23,1865,224
LL24,987,212
LL25,223,50
LL26,1917,245
LL27,382,52
LL28,6223,528
LL29,8986,878
LL30,9961,947
LL31,4588,325
LL32,2971,326
LL33,1791,190
LL34,2050,207
LL35,491,106
LL36,2168,288
LL37,250,44
LL38,296,52
LL39,125,22
LL40,1886,410
LL41,2800,411
LL42,1010,184
LL43,193,29
LL44,382,58
LL45,390,59
LL46,721,99
LL47,373,49
LL48,1127,170
LL49,1823,254
LL51,361,46
LL52,1226,173
LL53,7039,897
LL54,5080,577
LL55,9264,912
LL56,1034,89
LL57,10140,1165
LL58,1816,220
LL59,2456,236
LL60,1177,124
LL61,2800,270
LL62,813,127
LL63,643,110
LL64,338,60
LL65,10628,1033
LL66,196,23
LL67,601,70
LL68,2640,277
LL69,308,35
LL70,171,20
LL71,791,98
LL72,389,48
LL73,108,12
LL74,1037,95
LL75,635,67
LL76,101,10
LL77,3003,327
LL78,264,23
LN1,13186,1101
LN10,2620,242
LN11,13381,1407
LN12,6518,522
LN13,3664,404
LN2,18359,1576
LN3,6242,605
LN4,17063,1368
LN5,15195,1649
LN6,26717,1733
LN7,2783,305
LN8,6613,822
LN9,4690,494
LS1,3168,1693
LS10,16252,1280
LS11,16583,1560
LS12,19034,1759
LS13,16605,1161
LS14,16226,1300
LS15,16002,1209
LS16,16036,1425
LS17,18699,1787
LS18,9251,695
LS19,9012,858
LS2,3373,761
LS20,5659,474
LS21,8487,881
LS22,7177,1139
LS23,4223,538
LS24,5280,529
LS25,18406,1457
LS26,14077,1035
LS27,16818,1469
LS28,17938,1518
LS29,14599,1691
LS3,1476,230
LS4,4291,309
LS5,4313,275
LS6,17219,1347
LS7,13579,1144
LS8,19764,1442
LS88,400,62
LS9,18207,1319
LS98,53,10
LS99,231,59
LU1,18510,1846
