name,area,households,group,premium,capital,el_total,el_sub,el_wx,el_fl,el_gw,el_th,el_eow,el_fire,el_ad,sub_score,wx_score,fl_score,gw_score,f_high,f_low,sw_high,sw_low,gw_frac,sw_depth_m,sw_sev,rs_depth_m,rs_sev,th_rate,eow_rate,frost_days,fire_rate,ad_rate,wind_ms,gust_rp50,rain10_days,precip_mm,tvar99_vine,tvar99_euler,uplift_pct,el_er,er_score,er_head,er_basis,er_smp55,er_smp105,er_nfi55,er_nfi105,er_smp105_lo,er_smp105_hi,er_nfi105_lo,er_nfi105_hi,er_gi,er_dc50_hi,er_dc100_hi,er_dc50_lo,er_dc100_lo,cc_covered,premium_cc,el_total_cc,cc_uplift_pct,country,geol,sup_geol,sup_frac
AB41,AB,12870.0,4,153.6,5.5625,148.01,7.84,12.77,15.41,1.75,3.49,60.05,29.36,17.35,0.2388,0.2419,0.5193,0.8802,0.0127,0.0141,0.0573,0.0827,0.02,0.0,1.0,0.0,1.0,0.001,0.0127,63.4,0.0017,0.0089,4.2,145.0,20.7,852.0,10451.9,240.7,3.5261,1.45,0.1112625,0.0004631,dynamiccoast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001721,0.0004631,0.0001278,0.000269,0,153.4453,148.01,0.0,Scotland,none (low-plasticity bedrock),Till,0.9627
AB42,AB,19454.0,2,134.2,4.9738,129.23,6.46,17.12,17.98,1.75,2.76,46.28,23.25,13.64,0.2015,0.3481,0.6305,0.8802,0.0084,0.0094,0.0945,0.1622,0.02,0.0,1.0,0.0,1.0,0.001,0.0124,59.4,0.0017,0.0088,4.9,149.0,20.3,868.0,9147.3,212.1,3.227,2.46,0.1451321,0.000788,dynamiccoast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001284,0.000788,8.56e-05,0.0002171,0,134.1505,129.23,0.0,Scotland,none (low-plasticity bedrock),Till,0.7548
AB43,AB,11916.0,1,130.5,4.8096,125.69,5.67,23.86,17.38,1.75,2.59,39.89,21.79,12.78,0.166,0.5011,0.613,0.8802,0.0072,0.0087,0.0925,0.1481,0.02,0.0,1.0,0.0,1.0,0.001,0.0114,47.7,0.0017,0.0088,5.4,169.0,17.6,865.0,8778.7,205.9,2.1943,3.4,0.1705806,0.0010885,dynamiccoast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001493,0.0010885,8.48e-05,0.000225,0,130.4932,125.69,0.0,Scotland,none (low-plasticity bedrock),Till,0.5922
AB44,AB,2283.0,1,124.0,4.5626,119.45,4.13,22.28,21.33,1.75,2.43,35.2,20.43,11.91,0.0913,0.4663,0.7127,0.8802,0.0155,0.0167,0.1131,0.1986,0.02,0.0,1.0,0.0,1.0,0.001,0.0107,39.9,0.0017,0.0088,5.5,159.0,15.7,857.0,8532.3,195.5,0.9729,0.13,0.0338918,4.3e-05,dynamiccoast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-06,4.3e-05,0.0,0.0,0,124.0257,119.45,0.0,Scotland,none (low-plasticity bedrock),Glacial Sand And Gravel,0.4363
AB45,AB,9586.0,2,134.7,5.0051,129.66,5.88,20.9,20.93,1.75,2.66,42.23,22.39,12.93,0.1712,0.4352,0.6754,0.8802,0.0216,0.0331,0.092,0.1384,0.02,0.0,1.0,0.0,1.0,0.001,0.0117,51.8,0.0017,0.0087,5.3,158.0,16.5,836.0,9164.9,213.1,1.9913,1.95,0.1293121,0.0006255,dynamiccoast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13e-05,0.0006255,4.5e-05,0.0001181,0,134.6494,129.66,0.0,Scotland,none (low-plasticity bedrock),Till,0.665
AB51,AB,18719.0,5,164.8,6.0189,158.8,8.21,10.62,22.45,1.75,3.58,64.25,30.1,17.86,0.2515,0.1856,0.7026,0.8802,0.0278,0.0412,0.09,0.1473,0.02,0.0,1.0,0.0,1.0,0.001,0.0132,70.0,0.0017,0.0089,4.1,139.0,19.2,864.0,11393.6,259.1,3.7264,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,164.6942,158.8,0.0,Scotland,none (low-plasticity bedrock),Till,0.9917
AB52,AB,3894.0,7,175.6,6.4797,169.17,8.19,13.89,27.75,1.75,3.59,65.84,30.22,17.95,0.2588,0.2698,0.7902,0.8802,0.0502,0.051,0.1024,0.1473,0.02,0.0,1.0,0.0,1.0,0.001,0.0135,73.2,0.0017,0.0089,4.4,142.0,23.4,942.0,12026.3,277.2,3.306,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,175.5435,169.17,0.0,Scotland,none (low-plasticity bedrock),Till,0.9851
AB53,AB,10728.0,2,140.0,5.2166,134.83,7.86,13.72,16.42,1.75,2.92,53.26,24.59,14.31,0.2433,0.2657,0.5665,0.8802,0.0108,0.0111,0.0738,0.1125,0.02,0.0,1.0,0.0,1.0,0.001,0.0134,72.3,0.0017,0.0087,4.2,152.0,19.6,897.0,9494.7,221.8,3.6482,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,139.9529,134.83,0.0,Scotland,NEOGENE ROCKS (UNDIFFERENTIATED),Till,0.99
AB54,AB,10290.0,2,140.8,5.232,135.53,6.35,17.35,19.58,1.75,2.94,49.69,24.02,13.85,0.2058,0.3535,0.6404,0.8802,0.0202,0.025,0.083,0.1278,0.02,0.0,1.0,0.0,1.0,0.0011,0.0129,65.8,0.0017,0.0087,5.0,143.0,23.1,971.0,9533.4,222.7,2.7203,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,140.7083,135.53,0.0,Scotland,none (low-plasticity bedrock),Till,0.9642
AB55,AB,6693.0,2,135.2,5.0734,130.14,7.5,15.79,17.73,1.75,3.47,49.3,22.34,12.27,0.2526,0.3163,0.6057,0.8802,0.0125,0.0153,0.0828,0.1281,0.02,0.0,1.0,0.0,1.0,0.0014,0.0144,83.7,0.0018,0.0087,4.5,148.0,26.8,1009.0,9100.9,214.7,3.609,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,135.1555,130.14,0.0,Scotland,none (low-plasticity bedrock),Till,0.9526
