x,y,value
132500,642500,6.873066
132500,647500,6.5083656
132500,652500,6.162084
132500,657500,5.966009
132500,662500,5.6692476
132500,667500,5.937276
132500,672500,6.489044
132500,717500,7.1152296
132500,722500,6.9871664
132500,797500,7.615152
132500,802500,7.738984
132500,827500,7.3772783
132500,832500,7.1813636
132500,837500,6.421342
132500,842500,6.008376
132500,847500,6.0799813
132500,852500,6.2642813
132500,857500,5.943538
132500,902500,6.683814
132500,907500,6.726125
132500,912500,6.142305
132500,917500,5.4484477
132500,922500,5.1006193
132500,927500,5.2193713
132500,932500,5.365624
132500,937500,5.585929
132500,942500,5.675761
132500,947500,5.990198
137500,22500,6.9025483
137500,27500,6.848901
137500,32500,6.8579025
137500,467500,5.233449
137500,472500,5.04229
137500,477500,5.853095
137500,482500,6.1707063
137500,487500,5.3595705
137500,492500,4.5019627
137500,497500,4.6995926
137500,502500,5.1474442
137500,507500,4.7979803
137500,512500,4.8031416
137500,517500,4.426303
137500,522500,4.6252823
137500,527500,5.3457565
137500,532500,5.4234614
137500,537500,5.296858
137500,542500,4.883015
137500,547500,5.015204
137500,552500,5.060544
137500,557500,5.199108
137500,562500,5.004796
137500,567500,5.1825185
137500,572500,5.8471994
137500,577500,6.2768455
137500,582500,6.685403
137500,587500,6.492671
137500,592500,6.207406
137500,597500,6.360774
137500,647500,6.1164637
137500,652500,5.9604025
137500,657500,5.4480867
137500,662500,5.4672213
137500,667500,5.957542
137500,672500,6.631362
137500,677500,6.977989
137500,687500,7.4142027
137500,692500,7.2770414
137500,697500,7.560435
137500,717500,6.607011
137500,722500,6.520639
137500,742500,7.495472
137500,747500,6.910285
137500,752500,6.5755057
137500,792500,7.497214
137500,797500,7.2678285
137500,802500,7.1333747
137500,822500,6.3957233
137500,827500,6.417801
137500,832500,6.1430635
137500,837500,6.054513
137500,842500,5.9679036
137500,847500,6.0006113
137500,852500,5.7023897
137500,857500,5.9407015
137500,862500,6.5583467
137500,867500,6.935857
137500,872500,7.559962
137500,907500,6.724059
137500,912500,5.79243
137500,917500,5.5740204
137500,922500,5.3052278
137500,927500,5.1976824
137500,932500,5.376568
137500,937500,5.668462
137500,942500,5.66641
137500,947500,5.6129045
137500,952500,6.1605988
142500,22500,6.3538275
142500,27500,6.0275593
142500,32500,6.2315006
142500,37500,6.6638885
142500,472500,5.086399
142500,477500,5.882685
142500,482500,6.93144
142500,487500,6.0934095
142500,492500,5.007232
142500,497500,5.2464247
142500,502500,5.6133924
142500,507500,5.0413427
142500,512500,4.775342
142500,517500,4.559931
142500,522500,4.393341
142500,527500,4.9393854
142500,532500,5.7339563
142500,537500,5.7002935
142500,542500,4.94799
142500,547500,4.823623
142500,552500,4.976362
142500,557500,5.595137
142500,562500,5.6808057
142500,567500,5.502757
142500,572500,6.3850946
142500,577500,6.5827956
142500,582500,6.3165193
142500,587500,6.110829
142500,592500,6.5467467
142500,597500,6.7763267
142500,647500,6.4138956
142500,652500,6.68888
142500,657500,6.7018228
142500,662500,6.1040907
142500,667500,5.8185234
142500,672500,6.405997
142500,677500,7.0547457
142500,697500,6.9931564
142500,717500,6.763855
142500,722500,6.498933
142500,727500,7.156311
142500,732500,7.1561403
142500,737500,6.6490097
142500,742500,6.796193
142500,747500,6.361501
142500,752500,5.348123
142500,757500,5.62349
142500,762500,6.4982405
142500,767500,7.357993
142500,797500,6.9992003
142500,812500,7.2269683
142500,817500,7.0987043
142500,822500,6.76481
142500,827500,5.977122
142500,832500,6.0557585
142500,837500,6.2060885
142500,842500,5.746136
142500,847500,5.217271
142500,852500,5.4174023
142500,857500,5.939845
142500,862500,6.5112753
142500,867500,6.828842
142500,872500,7.0151696
142500,912500,6.1678777
142500,917500,5.891732
142500,922500,5.685413
142500,927500,5.152373
142500,932500,5.5217953
142500,937500,5.566581
142500,942500,5.546244
142500,947500,5.609944
142500,952500,5.860086
142500,957500,6.4176917
147500,27500,5.7597246
147500,32500,5.9874854
147500,37500,6.3770037
147500,477500,6.328707
147500,482500,7.3991036
147500,487500,5.801549
147500,492500,5.053093
147500,497500,5.2952156
147500,502500,5.4966135
147500,507500,5.0098286
147500,512500,4.6957006
147500,517500,4.7684555
147500,522500,4.6236024
147500,527500,3.9414375
147500,532500,4.3942766
147500,537500,4.899056
147500,542500,5.022583
147500,547500,4.864865
147500,552500,5.3033147
147500,557500,6.270552
147500,562500,6.3479533
147500,567500,6.063792
147500,572500,6.1267962
147500,577500,6.809909
147500,652500,6.604329
147500,657500,6.926904
147500,662500,6.478554
147500,667500,6.0186577
147500,672500,6.4509325
147500,677500,6.888704
147500,717500,6.844775
147500,722500,6.341894
147500,727500,6.2455735
147500,732500,6.941861
147500,737500,7.1429663
147500,742500,6.5076714
147500,747500,5.6147547
147500,752500,5.474698
147500,757500,5.3963313
147500,762500,6.4982405
147500,767500,6.530629
147500,787500,7.2762613
147500,817500,7.236299
147500,822500,7.545087
147500,827500,6.6568274
147500,832500,5.7729177
147500,837500,5.9206405
147500,842500,5.6928425
147500,847500,5.650764
147500,852500,6.414364
147500,857500,6.9454637
147500,862500,6.8896956
147500,867500,6.774246
147500,872500,6.9925222
147500,932500,6.5079117
147500,937500,5.58943
147500,942500,5.6177697
147500,947500,5.7833757
147500,952500,5.932029
147500,957500,6.2458205
147500,962500,7.21744
152500,32500,5.5971146
152500,37500,5.854042
152500,492500,5.051659
152500,497500,4.7695456
152500,502500,4.809716
152500,507500,4.7082834
152500,512500,4.7626753
152500,517500,4.910377
152500,522500,4.969549
152500,527500,4.3361483
152500,532500,4.292051
152500,542500,5.4857464
152500,547500,5.6806345
152500,552500,5.7075286
152500,557500,6.12678
152500,562500,6.543527
152500,667500,6.201076
152500,672500,7.0368433
152500,677500,7.179451
152500,682500,6.9662943
152500,687500,7.273384
152500,722500,6.087171
152500,727500,5.5509305
152500,732500,7.1532416
152500,737500,7.107976
152500,742500,5.9274035
152500,747500,5.6662226
152500,752500,5.251975
152500,762500,5.7221127
152500,767500,6.211599
152500,772500,6.794902
152500,812500,6.689357
152500,817500,6.3656363
